,Index Name,ind_close_all_30012026.csv,ind_close_all_29012026.csv,ind_close_all_28012026.csv,ind_close_all_27012026.csv,ind_close_all_23012026.csv,ind_close_all_22012026.csv,ind_close_all_21012026.csv,ind_close_all_20012026.csv,ind_close_all_19012026.csv,ind_close_all_16012026.csv,ind_close_all_14012026.csv,ind_close_all_13012026.csv,ind_close_all_12012026.csv,ind_close_all_09012026.csv,ind_close_all_08012026.csv,ind_close_all_07012026.csv,ind_close_all_06012026.csv,ind_close_all_05012026.csv,ind_close_all_02012026.csv,ind_close_all_01012026.csv
83,NIFTY Alpha Quality Value Low-Volatility 30,-.03,-.23,.42,.38,-.76,1.02,-.53,-1.76,.13,.3,-.68,-.25,.35,-.59,-1.28,-.01,.07,.15,.69,-.24
84,NIFTY200 Quality 30,-.18,-.55,.96,.25,-.71,1.17,-.67,-2.28,.7,.25,-.43,-.25,.29,-.4,-1.3,.73,.11,.12,.57,-.23
85,NIFTY Midcap150 Quality 50,-.02,-.3,1.45,.18,-1.46,1.08,-.78,-2.32,-.19,.17,-.27,.12,-.12,-.85,-1.5,.62,-.28,-.13,.59,.09
86,Nifty200 Momentum 30,-.68,-.23,.9,.47,-1.48,.96,-.59,-2.23,.53,.3,.04,-.21,.31,-.81,-1.31,-.52,.13,.31,.96,.55
87,Nifty100 ESG Sector Leaders,-.52,.23,.74,.45,-1.13,.41,-.22,-1.57,-.57,.21,-.18,-.13,.42,-.88,-1.14,-.07,-.15,-.31,.93,.44
88,Nifty200 Alpha 30,-.5,-.27,1.69,.5,-1.79,1.38,-1.02,-2.4,.46,.23,.54,-.48,-.02,-1.05,-1.65,-.13,.24,.55,.99,.5
89,Nifty Midcap150 Momentum 50,-.44,.73,1.5,.77,-1.81,1.46,-1.21,-2.37,.08,.55,.45,-.23,-.31,-.88,-1.87,.25,-.18,0,.72,.6
90,Nifty Smallcap250 Quality 50,.84,-.37,1.18,-.09,-1.92,1.17,-.52,-2.34,-1.12,.21,0,.41,-.68,-1.93,-1.64,.34,-.17,.38,.71,.09
91,NIFTY100 ESG,-.45,.2,.95,.43,-1.4,.64,-.23,-1.85,-.25,.26,-.17,.04,.37,-.87,-1.29,.07,.27,-.21,.86,.53
92,NIFTY100 Enhanced ESG,-.4,.17,.92,.41,-1.41,.63,-.23,-1.86,-.25,.25,-.2,.04,.36,-.88,-1.28,.08,.27,-.21,.85,.54
93,NIFTY50 Equal Weight,-.33,.23,.78,.73,-1.3,.88,-.07,-1.88,-.25,-.1,-.05,-.18,.6,-.76,-1.22,-.12,.09,.09,.76,.27
94,Nifty 50 Futures Index,-.47,.34,.27,.61,-1.05,.65,-.33,-1.32,-.6,.13,-.28,-.33,.34,-.76,-.95,-.19,-.18,-.47,.63,-.02
95,Nifty 50 Arbitrage,.06,-.02,.26,.1,.08,-.1,.02,-.04,.13,.04,.02,.07,.06,.01,-.03,.03,-.06,.13,.05,.06
96,Nifty Aditya Birla Group,,,,,,,,,,,,,,,,,,,,
97,Nifty 8-13 yr G-Sec,.03,.03,.1,-.31,-.14,.19,.12,.06,-.03,-.21,-.13,-.17,.23,.02,-.07,-.01,.16,-.08,-.16,.09
98,Nifty 4-8 yr G-Sec Index,.14,.04,.07,-.12,-.07,.17,.11,.04,-.07,-.13,-.1,-.13,.12,-.02,-.04,0,.17,-.12,-.07,.06
99,Nifty 11-15 yr G-Sec Index,.16,.03,.09,-.34,-.04,.24,.12,.06,-.06,-.24,-.2,-.1,.22,.02,-.02,.01,.09,-.43,-.12,.03
100,Nifty 15 yr and above G-Sec Index,.18,.12,.35,-.32,.01,.33,0,-.05,-.1,-.13,-.06,-.16,.19,-.1,-.23,-.02,.02,-.54,.05,.05
101,Nifty Composite G-sec Index,.07,.05,.16,-.27,-.11,.22,.07,.06,-.05,-.19,-.11,-.15,.17,0,-.1,0,.1,-.23,-.09,.08
102,Nifty 10 yr Benchmark G-Sec,.03,.01,.13,-.39,-.13,.19,.14,.08,-.01,-.21,-.14,-.15,.25,-.02,-.09,.05,.15,-.15,-.17,.12
103,Nifty 10 yr Benchmark G-Sec (Clean Price),.03,0,.11,-.42,-.15,.17,.12,.07,-.02,-.23,-.16,-.17,.23,-.04,-.11,.03,.13,-.17,-.19,.1
104,Nifty 1D Rate Index,.01,.01,.01,.06,.01,.01,.01,.01,.04,.03,.01,.01,.04,.01,.01,.01,.01,.04,.01,.01
105,Nifty50 USD,,.12,.59,.75,-1.31,.62,-1.09,-1.44,-.48,-.53,-.36,-.27,.42,-.9,-1.15,.16,-.15,-.39,.34,.06
