,Index Name,ind_close_all_29092023.csv,ind_close_all_28092023.csv,ind_close_all_27092023.csv,ind_close_all_26092023.csv,ind_close_all_25092023.csv,ind_close_all_22092023.csv,ind_close_all_21092023.csv,ind_close_all_20092023.csv,ind_close_all_18092023.csv,ind_close_all_15092023.csv,ind_close_all_14092023.csv,ind_close_all_13092023.csv,ind_close_all_12092023.csv,ind_close_all_11092023.csv,ind_close_all_08092023.csv,ind_close_all_07092023.csv,ind_close_all_06092023.csv,ind_close_all_05092023.csv,ind_close_all_04092023.csv,ind_close_all_01092023.csv
90,Nifty Smallcap250 Quality 50,.74,-.46,.46,.36,.47,-.63,-.8,-.85,-.63,-.17,.88,.42,-3.93,1.14,.52,.55,.13,1.42,1.32,.68
91,NIFTY100 ESG,.5,-1.36,.2,.03,-.09,-.22,-.67,-.88,-.15,.72,.36,.2,-.46,.93,.44,.55,.37,.18,.69,.9
92,NIFTY100 Enhanced ESG,.48,-1.36,.2,.03,-.1,-.24,-.65,-.87,-.15,.73,.36,.17,-.44,.93,.43,.53,.38,.17,.67,.89
93,NIFTY50 Equal Weight,.9,-1.27,.29,.04,.07,-.25,-.69,-.79,.11,.45,.43,.47,-.6,1.06,.4,.58,.17,.28,.77,1.31
94,Nifty 50 Futures Index,.37,-.97,.19,-.13,-.03,-.36,-.97,-1.02,-.35,.38,.23,.39,.05,.83,.52,.56,.03,.23,.5,.5
95,Nifty 50 Arbitrage,.15,.01,.04,.05,.04,.01,.12,-.07,.05,.04,-.04,0,-.04,.06,-.03,.03,.11,.01,.01,.29
96,Nifty Aditya Birla Group,2.08,-1.58,.18,.94,.15,-.34,-1.37,-1.24,-1.71,1.28,.76,1.62,-.92,1.48,-.27,-.25,.31,-.28,2.73,1.47
97,Nifty 8-13 yr G-Sec,.21,-.46,-.1,-.02,.08,-.17,.14,.08,-.03,-.27,.44,.26,.05,-.27,-.11,.25,0,-.03,-.14,-.03
98,Nifty 4-8 yr G-Sec Index,.11,-.27,-.04,.02,0,-.07,.1,.02,.04,-.23,.27,.29,.04,-.16,-.1,.11,-.01,.02,-.06,-.01
99,Nifty 11-15 yr G-Sec Index,.29,-.57,-.12,.06,.01,-.02,.03,.07,.03,-.45,.49,.17,.05,-.26,-.09,.28,-.04,-.05,-.2,.02
100,Nifty 15 yr and above G-Sec Index,.38,-.95,-.21,-.02,.05,-.22,.16,.13,.12,-.59,.63,.25,.05,-.29,-.17,.2,-.02,.07,-.11,.08
101,Nifty Composite G-sec Index,.2,-.44,-.1,.01,.04,-.14,.13,.06,.04,-.34,.41,.26,.07,-.23,-.13,.21,-.01,.01,-.13,-.01
102,Nifty 10 yr Benchmark G-Sec,.21,-.43,-.16,.05,.02,-.08,.14,0,.08,-.38,.52,.23,.06,-.24,-.15,.25,-.03,-.02,-.16,-.06
103,Nifty 10 yr Benchmark G-Sec (Clean Price),.2,-.45,-.18,.03,0,-.1,.12,-.02,.06,-.4,.5,.21,.04,-.26,-.17,.23,-.05,-.04,-.18,-.07
104,Nifty 1D Rate Index,.02,.02,.02,.02,.06,.02,.02,.04,.06,.02,.02,.02,.02,.06,.02,.02,.02,.02,.05,.02
105,Nifty50 USD,,-.94,.28,-.17,-.25,-.15,-.81,-.93,-.4,.28,.1,.3,.12,.79,.79,.51,.05,-.11,.44,1.03
