,SYMBOL,NAME OF COMPANY,cm01JUN2023bhav.csv
304,CAREERP,Career Point Limited,-0.1285071749839293
305,CARERATING,CARE Ratings Limited,2.023622047244098
306,CARTRADE,Cartrade Tech Limited,-0.2757793764987955
307,CARYSIL,CARYSIL LIMITED,-1.1044802707758163
308,CASTROLIND,Castrol India Limited,1.3357079252003563
309,CCCL,Consolidated Construction Consortium Limited,
310,CCHHL,Country Club Hospitality & Holidays Limited,4.651162790697672
311,CCL,CCL Products (India) Limited,0.291568163908593
312,CDSL,Central Depository Services (India) Limited,2.932254802831147
313,CEATLTD,CEAT Limited,0.020749040356888213
314,CELEBRITY,Celebrity Fashions Limited,-0.3717472118959029
315,CENTENKA,Century Enka Limited,-0.6674082313681841
316,CENTEXT,Century Extrusions Limited,6.217616580310877
317,CENTRALBK,Central Bank of India,2.5878003696857643
318,CENTRUM,Centrum Capital Limited,-0.2724795640327014
319,CENTUM,Centum Electronics Limited,9.198755348113565
320,CENTURYPLY,Century Plyboards (India) Limited,1.0589607825540657
321,CENTURYTEX,Century Textiles & Industries Limited,0.4131714035307318
322,CERA,Cera Sanitaryware Limited,1.3328901445903274
323,CEREBRAINT,Cerebra Integrated Technologies Limited,0.7633587786259515
324,CESC,CESC Limited,-0.14440433212995568
325,CGCL,Capri Global Capital Limited,0.7766851931024557
326,CGPOWER,CG Power and Industrial Solutions Limited,-1.0945653557337434
327,CHALET,Chalet Hotels Limited,0.057710064635272396
328,CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,0.0
329,CHEMBOND,Chembond Chemicals Ltd,0.6863417982155113
330,CHEMCON,Chemcon Speciality Chemicals Limited,0.2073124764417683
331,CHEMFAB,Chemfab Alkalis Limited,-3.188964698902402
332,CHEMPLASTS,Chemplast Sanmar Limited,-1.6611661166116638
333,CHENNPETRO,Chennai Petroleum Corporation Limited,2.1299254526091587
334,CHEVIOT,Cheviot Company Limited,0.5745320705597077
335,CHOICEIN,Choice International Limited,0.2294506681063633
336,CHOLAFIN,Cholamandalam Investment and Finance Company Limited,-0.6660957274716909
337,CHOLAHLDNG,Cholamandalam Financial Holdings Limited,1.8445569936847372
338,CIGNITITEC,Cigniti Technologies Limited,5.9523809523809526
339,CINELINE,Cineline India Limited,-3.3948779035140064
340,CINEVISTA,Cinevista Limited,1.250000000000003
341,CIPLA,Cipla Limited,1.2276375845968257
342,CLEAN,Clean Science and Technology Limited,-0.5110132158590308
343,CLEDUCATE,CL Educate Limited,-0.32336297493937405
344,CLSEL,Chaman Lal Setia Exports Limited,3.802733214497907
345,CMICABLES,CMI Limited,
346,CMSINFO,CMS Info Systems Limited,-0.8448540706605223
347,COALINDIA,Coal India Limited,-4.5181347150259095
348,COASTCORP,Coastal Corporation Limited,0.1498127340824027
349,COCHINSHIP,Cochin Shipyard Limited,0.4834810636583469
350,COFFEEDAY,Coffee Day Enterprises Limited,0.0
351,COFORGE,Coforge Limited,0.15477157471843148
352,COLPAL,Colgate Palmolive (India) Limited,1.2221558955669387
353,COMPINFO,Compuage Infocom Limited,-2.7131782945736407
354,COMPUSOFT,Compucom Software Limited,0.2463054187192153
355,CONCOR,Container Corporation of India Limited,-1.7139876294805871
356,CONFIPET,Confidence Petroleum India Limited,-2.1609538002980457
357,CONSOFINVT,Consolidated Finvest & Holdings Limited,-0.337711069418378
358,CONTROLPR,Control Print Limited,1.7942866136774969
359,CORALFINAC,Coral India Finance & Housing Limited,0.15748031496063214
360,CORDSCABLE,Cords Cable Industries Limited,0.7135016465422676
361,COROMANDEL,Coromandel International Limited,-1.3752148773245867
362,COSMOFIRST,COSMO FIRST LIMITED,-0.2002670226969368
363,COUNCODOS,Country Condo's Limited,8.860759493670876
364,CRAFTSMAN,Craftsman Automation Limited,-0.9133093718148095
365,CREATIVE,Creative Newtech Limited,-2.056168505516547
366,CREATIVEYE,Creative Eye Limited,-4.651162790697678
367,CREDITACC,CREDITACCESS GRAMEEN LIMITED,1.3005429057612985
368,CREST,Crest Ventures Limited,0.0
369,CRISIL,CRISIL Limited,0.6278463684944946
370,CROMPTON,Crompton Greaves Consumer Electricals Limited,-0.32751091703058005
