,SYMBOL,NAME OF COMPANY,cm01NOV2023bhav.csv
328,CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,-1.108993242072427
329,CHEMBOND,Chembond Chemicals Ltd,-1.3286713286713288
330,CHEMCON,Chemcon Speciality Chemicals Limited,0.6406523005241612
331,CHEMFAB,Chemfab Alkalis Limited,2.6073402295592993
332,CHEMPLASTS,Chemplast Sanmar Limited,-0.6979624000900521
333,CHENNPETRO,Chennai Petroleum Corporation Limited,1.312586926286501
334,CHEVIOT,Cheviot Company Limited,-2.210924568455896
335,CHOICEIN,Choice International Limited,-0.26835813613075526
336,CHOLAFIN,Cholamandalam Investment and Finance Company Limited,1.0287523080981311
337,CHOLAHLDNG,Cholamandalam Financial Holdings Limited,-2.5830258302583107
338,CIGNITITEC,Cigniti Technologies Limited,0.1213651148113986
339,CINELINE,Cineline India Limited,
340,CINEVISTA,Cinevista Limited,
341,CIPLA,Cipla Limited,0.10416666666666667
342,CLEAN,Clean Science and Technology Limited,3.1513571538107583
343,CLEDUCATE,CL Educate Limited,0.5653266331658328
344,CLSEL,Chaman Lal Setia Exports Limited,-0.6420545746388469
345,CMICABLES,CMI Limited,
346,CMSINFO,CMS Info Systems Limited,0.1466666666666697
347,COALINDIA,Coal India Limited,-2.4184566428003254
348,COASTCORP,Coastal Corporation Limited,0.864375385881878
349,COCHINSHIP,Cochin Shipyard Limited,-0.441477899826567
350,COFFEEDAY,Coffee Day Enterprises Limited,-0.10493179433367715
351,COFORGE,Coforge Limited,0.8496764809148892
352,COLPAL,Colgate Palmolive (India) Limited,-1.0786261708771019
353,COMPINFO,Compuage Infocom Limited,
354,COMPUSOFT,Compucom Software Limited,0.0
355,CONCOR,Container Corporation of India Limited,-1.8453937808776584
356,CONFIPET,Confidence Petroleum India Limited,3.8138332255979353
357,CONSOFINVT,Consolidated Finvest & Holdings Limited,-3.0725462304409703
358,CONTROLPR,Control Print Limited,-0.6448177946048326
359,CORALFINAC,Coral India Finance & Housing Limited,0.8547008547008408
360,CORDSCABLE,Cords Cable Industries Limited,2.585034013605437
361,COROMANDEL,Coromandel International Limited,0.5704697986577225
362,COSMOFIRST,COSMO FIRST LIMITED,-0.588604614660179
363,COUNCODOS,Country Condo's Limited,-2.3255813953488293
364,CRAFTSMAN,Craftsman Automation Limited,-2.1360499507065396
365,CREATIVE,Creative Newtech Limited,-1.2993900822063154
366,CREATIVEYE,Creative Eye Limited,-6.4102564102564115
367,CREDITACC,CREDITACCESS GRAMEEN LIMITED,1.465063861758068
368,CREST,Crest Ventures Limited,-1.0545905707196075
369,CRISIL,CRISIL Limited,1.5987112678634625
370,CROMPTON,Crompton Greaves Consumer Electricals Limited,-1.8794326241134793
371,CROWN,Crown Lifters Limited,-2.036199095022616
372,CSBBANK,CSB Bank Limited,-3.7832929782082325
373,CSLFINANCE,CSL Finance Limited,-5.0197748707027685
374,CTE,Cambridge Technology Enterprises Limited,-6.021650879566986
375,CUB,City Union Bank Limited,-0.5430847212165097
376,CUBEXTUB,Cubex Tubings Limited,4.952380952380955
377,CUMMINSIND,Cummins India Limited,-0.1342041692761922
378,CUPID,Cupid Limited,-0.8593252705283223
379,CYBERMEDIA,Cyber Media (India) Limited,
380,CYBERTECH,Cybertech Systems And Software Limited,-2.3981603153744926
381,CYIENT,Cyient Limited,2.943120652208127
382,DAAWAT,LT Foods Limited,2.4856016974841
383,DABUR,Dabur India Limited,-2.231045566269608
384,DALBHARAT,Dalmia Bharat Limited,-1.5088511346085303
385,DALMIASUG,Dalmia Bharat Sugar and Industries Limited,-1.303867403314912
386,DAMODARIND,Damodar Industries Limited,-2.11055276381909
387,DANGEE,Dangee Dums Limited,
388,DATAMATICS,Datamatics Global Services Limited,-2.173270254287394
389,DATAPATTNS,Data Patterns (India) Limited,-0.6693798864731713
390,DBCORP,D.B.Corp Limited,-2.0459081836327457
391,DBL,Dilip Buildcon Limited,0.8542796122884724
392,DBOL,Dhampur Bio Organics Limited,-0.2220812182741081
393,DBREALTY,D B Realty Limited,1.7251461988304029
394,DBSTOCKBRO,DB (International) Stock Brokers Limited,
395,DCAL,Dishman Carbogen Amcis Limited,2.1141649048625792
396,DCBBANK,DCB Bank Limited,-1.395551679023121
397,DCI,Dc Infotech And Communication Limited,
398,DCM,DCM  Limited,
399,DCMFINSERV,DCM Financial Services Limited,
400,DCMNVL,DCM Nouvelle Limited,-0.36764705882352594
401,DCMSHRIRAM,DCM Shriram Limited,-6.427415002698322
402,DCMSRIND,DCM Shriram Industries Limited,-2.7102431247509013
403,DCW,DCW Limited,-0.4677268475210477
404,DCXINDIA,DCX Systems Limited,-0.821636425881559
405,DECCANCE,Deccan Cements Limited,0.0391964723174892
406,DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,-0.5058759436532025
407,DEEPAKNTR,Deepak Nitrite Limited,-1.3439033597584016
408,DEEPENR,DEEP ENERGY RESOURCES LIMITED,
409,DEEPINDS,Deep Industries Limited,0.4883766360617308
410,DELHIVERY,Delhivery Limited,-2.6007015846135237
411,DELPHIFX,DELPHI WORLD MONEY LIMITED,-0.5314437555358759
412,DELTACORP,Delta Corp Limited,-2.1118498240125056
413,DELTAMAGNT,Delta Manufacturing Limited,
414,DEN,Den Networks Limited,-2.5834230355220726
415,DENORA,De Nora India Limited,-3.3372961956521765
416,DEVIT,Dev Information Technology Limited,-0.8915304606240629
417,DEVYANI,Devyani International Limited,2.363737486095662
418,DGCONTENT,Digicontent Limited,-2.463054187192118
419,DHAMPURSUG,Dhampur Sugar Mills Limited,-4.3937393927965225
420,DHANBANK,Dhanlaxmi Bank Limited,-2.264808362369333
421,DHANI,Dhani Services Limited,
422,DHANUKA,Dhanuka Agritech Limited,-1.7724701445631708
423,DHARMAJ,Dharmaj Crop Guard Limited,-0.8206330597889779
424,DHARSUGAR,Dharani Sugars&Chemicals Limited,
425,DHRUV,Dhruv Consultancy Services Limited,0.08230452674896652
426,DHUNINV,Dhunseri Investments Limited,-0.947708774668302
