,SYMBOL,NAME OF COMPANY,cm04DEC2023bhav.csv,cm01DEC2023bhav.csv
206,BALRAMCHIN,Balrampur Chini Mills Limited,-0.6256627783669118,-0.32766092379241335
207,BANARBEADS,Banaras Beads Limited,0.10928961748633259,0.0
208,BANARISUG,Bannari Amman Sugars Limited,0.8589692369157012,1.20900893615301
209,BANCOINDIA,Banco Products (I) Limited,-1.242958061343098,-1.1316417646538728
210,BANDHANBNK,Bandhan Bank Limited,3.5580110497237616,0.06634232640424843
211,BANG,Bang Overseas Limited,,
212,BANKA,Banka BioLoo Limited,-2.484472049689437,1.257861635220134
213,BANKBARODA,Bank of Baroda,3.567005201882595,2.409944190766109
214,BANKINDIA,Bank of India,1.581395348837212,3.614457831325301
215,BANSWRAS,Banswara Syntex Limited,-1.6371077762619413,0.4109589041095852
216,BARBEQUE,Barbeque Nation Hospitality Limited,4.778266080703152,2.6913924673832734
217,BASF,BASF India Limited,0.4368956699913667,0.5808011990734494
218,BASML,Bannari Amman Spinning Mills Limited,-0.40201005025126196,-1.3875123885034744
219,BATAINDIA,Bata India Limited,0.7354304431122979,0.015452606854776403
220,BAYERCROP,Bayer Cropscience Limited,-1.0913759897282194,0.006513324400763999
221,BBL,Bharat Bijlee Limited,4.60028490400826,0.8767072720561092
222,BBOX,Black Box Limited,,
223,BBTC,Bombay Burmah Trading Corporation Limited,0.20887173859171207,3.7996545768566357
224,BBTCL,B&B Triplewall Containers Limited,-1.45735876214464,-4.419604471195193
225,BCG,Brightcom Group Limited,0.8955223880596931,-1.4705882352941175
226,BCLIND,Bcl Industries Limited,9.611829944547127,-3.306523681858805
227,BCONCEPTS,Brand Concepts Limited,,
228,BDL,Bharat Dynamics Limited,0.7554720679516497,5.302085572995063
229,BEARDSELL,Beardsell Limited,,
230,BECTORFOOD,Mrs. Bectors Food Specialities Limited,-0.6314839873703053,-0.06556570913413776
231,BEDMUTHA,Bedmutha Industries Limited,,
232,BEL,Bharat Electronics Limited,4.136995591726024,1.0623714873200705
233,BEML,BEML Limited,0.51930596285435,-0.5186385737439295
234,BEPL,Bhansali Engineering Polymers Limited,-0.26939655172413796,1.531728665207868
235,BERGEPAINT,Berger Paints (I) Limited,-0.09383263669708343,2.0456128133704734
236,BESTAGRO,Best Agrolife Limited,,
237,BFINVEST,BF Investment Limited,1.1551639745472302,-0.632295719844358
238,BFUTILITIE,BF Utilities Limited,3.164124743910753,1.0272134917593019
239,BGLOBAL,Bharatiya Global Infomedia Limited,,
240,BGRENERGY,BGR Energy Systems Limited,3.212616822429907,-2.115494568324767
241,BHAGCHEM,Bhagiradha Chemicals & Industries Limited,1.0314679590032416,1.6509669473754256
242,BHAGERIA,Bhageria Industries Limited,2.849430113977205,0.42168674698794495
243,BHAGYANGR,Bhagyanagar India Limited,,
244,BHANDARI,Bhandari Hosiery Exports Limited,,
245,BHARATFORG,Bharat Forge Limited,0.06052745352356641,3.2358848471323363
246,BHARATGEAR,Bharat Gears Limited,0.0,-0.4733218588640251
247,BHARATRAS,Bharat Rasayan Limited,0.4092190093811568,0.41646129734338166
248,BHARATWIRE,Bharat Wire Ropes Limited,5.371388051763863,-0.5114638447971741
249,BHARTIARTL,Bharti Airtel Limited,1.793633586281664,0.0
250,BHEL,Bharat Heavy Electricals Limited,2.082111436950153,0.029334115576422043
251,BIGBLOC,Bigbloc Construction Limited,2.0102105934907506,0.06385696040868091
252,BIKAJI,Bikaji Foods International Limited,-2.9069242574704384,-0.7437275985663042
253,BIL,Bhartiya International Limited,19.992978760751267,19.23398911678527
254,BINANIIND,Binani Industries Limited,,
255,BINDALAGRO,Oswal Chemicals & Fertilizers Limited,,
256,BIOCON,Biocon Limited,0.0,0.9861519093579497
257,BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited,-1.304753028890952,1.3220018885741183
258,BIRLACABLE,Birla Cable Limited,0.11342155009452226,0.9156810377718341
259,BIRLACORPN,Birla Corporation Limited,-0.37196897919078886,5.259852990063887
260,BIRLAMONEY,Aditya Birla Money Limited,0.04734848484849562,-0.424328147100427
261,BIRLATYRE,Birla Tyres Limited,,
262,BKMINDST,Bkm Industries Limited,,
263,BLAL,BEML Land Assets Limited,0.6542056074766426,0.6585136406397061
264,BLBLIMITED,BLB Limited,1.421800947867285,1.6867469879518142
265,BLISSGVS,Bliss GVS Pharma Limited,0.4250797024442043,0.24857954545454142
266,BLKASHYAP,B. L. Kashyap and Sons Limited,-0.619674670797818,0.07751937984495684
267,BLS,BLS International Services Limited,7.363013698630123,-0.811473862993009
268,BLUECHIP,Blue Chip India Limited,,
269,BLUECOAST,Blue Coast Hotels Limited,,
270,BLUEDART,Blue Dart Express Limited,1.2250736460457738,-0.5500116199638045
271,BLUESTARCO,Blue Star Limited,0.2982810920121381,-1.2826271397913882
272,BODALCHEM,Bodal Chemicals Limited,0.12706480304954804,6.5673662830061055
273,BOHRAIND,Bohra Industries Limited,,
274,BOMDYEING,Bombay Dyeing & Mfg Company Limited,0.5891980360065503,-1.196636481241911
275,BOROLTD,Borosil Limited,5.418194723766718,0.08287946957138666
276,BORORENEW,BOROSIL RENEWABLES LIMITED,2.974192801759048,-2.0516889594196352
