,SYMBOL,NAME OF COMPANY,cm01APR2024bhav.csv
378,CUPID,Cupid Limited,
379,CYBERMEDIA,Cyber Media (India) Limited,
380,CYBERTECH,Cybertech Systems And Software Limited,6.01231437884823
381,CYIENT,Cyient Limited,0.5159415934079787
382,DAAWAT,LT Foods Limited,
383,DABUR,Dabur India Limited,1.1468985950492212
384,DALBHARAT,Dalmia Bharat Limited,2.5821898411554134
385,DALMIASUG,Dalmia Bharat Sugar and Industries Limited,6.2913420549757575
386,DAMODARIND,Damodar Industries Limited,5.035971223021569
387,DANGEE,Dangee Dums Limited,9.876543209876552
388,DATAMATICS,Datamatics Global Services Limited,8.549174174174187
389,DATAPATTNS,Data Patterns (India) Limited,5.84434351775393
390,DBCORP,D.B.Corp Limited,
391,DBL,Dilip Buildcon Limited,0.36112934996717755
392,DBOL,Dhampur Bio Organics Limited,8.112798264642079
393,DBREALTY,D B Realty Limited,4.991087344028526
394,DBSTOCKBRO,DB (International) Stock Brokers Limited,4.430379746835443
395,DCAL,Dishman Carbogen Amcis Limited,3.311398853746543
396,DCBBANK,DCB Bank Limited,5.611390284757109
397,DCI,Dc Infotech And Communication Limited,2.762730227518957
398,DCM,DCM  Limited,3.8194444444444446
399,DCMFINSERV,DCM Financial Services Limited,
400,DCMNVL,DCM Nouvelle Limited,8.127301420305113
401,DCMSHRIRAM,DCM Shriram Limited,3.956687152472924
402,DCMSRIND,DCM Shriram Industries Limited,2.4563318777292578
403,DCW,DCW Limited,3.988326848249036
404,DCXINDIA,DCX Systems Limited,2.838205302515304
405,DECCANCE,Deccan Cements Limited,5.34686971235195
406,DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,3.580638762150358
407,DEEPAKNTR,Deepak Nitrite Limited,0.7904022582921751
408,DEEPENR,DEEP ENERGY RESOURCES LIMITED,3.0566461020751476
409,DEEPINDS,Deep Industries Limited,0.8914100486223663
410,DELHIVERY,Delhivery Limited,0.9202109751991844
411,DELPHIFX,DELPHI WORLD MONEY LIMITED,3.062857142857138
412,DELTACORP,Delta Corp Limited,12.833258020786253
413,DELTAMAGNT,Delta Manufacturing Limited,11.123052122514787
414,DEN,Den Networks Limited,8.39532412327312
415,DENORA,De Nora India Limited,2.7694011939196255
416,DEVIT,Dev Information Technology Limited,4.405940594059408
417,DEVYANI,Devyani International Limited,3.2236623462944656
418,DGCONTENT,Digicontent Limited,4.90654205607477
419,DHAMPURSUG,Dhampur Sugar Mills Limited,6.0153994225216545
420,DHANBANK,Dhanlaxmi Bank Limited,
421,DHANI,Dhani Services Limited,4.7306176084099985
422,DHANUKA,Dhanuka Agritech Limited,-1.9739728030413695
423,DHARMAJ,Dharmaj Crop Guard Limited,5.873157659669498
424,DHARSUGAR,Dharani Sugars&Chemicals Limited,
425,DHRUV,Dhruv Consultancy Services Limited,
