,SYMBOL,NAME OF COMPANY,cm02JUL2024bhav.csv,cm01JUL2024bhav.csv
186,AYMSYNTEX,AYM Syntex Limited,-1.944645441389296,10.218323198085933
187,BAFNAPH,Bafna Pharmaceuticals Limited,,
188,BAGFILMS,B.A.G Films and Media Limited,,
189,BAIDFIN,Baid Finserv Limited,-4.414168937329712,-1.3970983342288985
190,BAJAJ-AUTO,Bajaj Auto Limited,-1.3758339977340401,0.32362800145237935
191,BAJAJCON,Bajaj Consumer Care Limited,-2.4394751432267685,2.508240821429926
192,BAJAJELEC,Bajaj Electricals Limited,0.061387354205042356,0.20820517673778619
193,BAJAJFINSV,Bajaj Finserv Limited,-0.02847740792305059,-0.5005824386865249
194,BAJAJHCARE,Bajaj Healthcare Limited,-2.4252679075014165,5.363244688753531
195,BAJAJHIND,Bajaj Hindusthan Sugar Limited,1.501574231048674,2.94190974819247
196,BAJAJHLDNG,Bajaj Holdings & Investment Limited,1.5994015805582327,2.5790013179089137
197,BAJFINANCE,Bajaj Finance Limited,-1.527467619472974,2.265460856855757
198,BALAJITELE,Balaji Telefilms Limited,3.4537802931359884,-1.7115960633290583
199,BALAMINES,Balaji Amines Limited,2.0973419615944016,3.6033281649232376
200,BALAXI,BALAXI PHARMACEUTICALS LIMITED,0.700303746203171,-0.6538139145012583
201,BALKRISHNA,Balkrishna Paper Mills Limited,8.731808731808723,-0.701899256812544
202,BALKRISIND,Balkrishna Industries Limited,-1.9195211382368609,-1.1799318674512205
203,BALLARPUR,Ballarpur Industries Limited,,
204,BALMLAWRIE,Balmer Lawrie & Company Limited,-0.3878116343490347,0.18501387604070307
205,BALPHARMA,Bal Pharma Limited,1.8000669792364414,1.486957260599881
206,BALRAMCHIN,Balrampur Chini Mills Limited,0.3339474896361098,1.047242262043286
207,BANARBEADS,Banaras Beads Limited,-1.2338187702265362,-1.4845073229052594
208,BANARISUG,Bannari Amman Sugars Limited,-0.8588179369355066,0.39930638412956565
209,BANCOINDIA,Banco Products (I) Limited,-2.7216229730695143,1.7812999854587754
210,BANDHANBNK,Bandhan Bank Limited,-1.758476634606045,1.0207086073216276
211,BANG,Bang Overseas Limited,-1.37015177065767,3.0184581976112934
212,BANKA,Banka BioLoo Limited,,
213,BANKBARODA,Bank of Baroda,-2.6272276318206793,-1.1801016702977487
214,BANKINDIA,Bank of India,-2.6526733327824212,0.4149033275246868
215,BANSWRAS,Banswara Syntex Limited,3.133159268929496,4.700626750233372
216,BARBEQUE,Barbeque Nation Hospitality Limited,-2.705008959808861,4.447415329768279
217,BASF,BASF India Limited,0.30220344453246134,0.5536652046496005
218,BASML,Bannari Amman Spinning Mills Limited,3.2804232804232747,0.19083969465649578
219,BATAINDIA,Bata India Limited,-0.05012866356982923,-1.1626754748141972
220,BAYERCROP,Bayer Cropscience Limited,-2.323826881993519,-0.27858888028126777
221,BBL,Bharat Bijlee Limited,1.8460409959655946,5.488506055949024
222,BBOX,Black Box Limited,-2.906071613907626,9.928976867566105
223,BBTC,Bombay Burmah Trading Corporation Limited,-0.2640105604224169,2.851147864724759
224,BBTCL,B&B Triplewall Containers Limited,-1.8035272524140173,2.2021042329336944
225,BCG,Brightcom Group Limited,,
