,Index Name,ind_close_all_30052024.csv,ind_close_all_29052024.csv,ind_close_all_28052024.csv,ind_close_all_27052024.csv,ind_close_all_24052024.csv,ind_close_all_23052024.csv,ind_close_all_22052024.csv,ind_close_all_21052024.csv,ind_close_all_18052024.csv,ind_close_all_17052024.csv,ind_close_all_16052024.csv,ind_close_all_15052024.csv,ind_close_all_14052024.csv,ind_close_all_13052024.csv,ind_close_all_10052024.csv,ind_close_all_09052024.csv,ind_close_all_08052024.csv,ind_close_all_07052024.csv,ind_close_all_06052024.csv,ind_close_all_03052024.csv,ind_close_all_02052024.csv
75,Nifty Non-Cyclical Consumer,-.96,-.48,-.34,-.19,-.63,.61,.81,-.05,.26,.66,1.09,-.14,-.22,-.02,1.21,-1.81,.45,.63,-.27,-.74,.69
76,Nifty India Manufacturing,-1.42,.05,-.48,-.14,.14,.87,.3,1.04,.62,1.33,1.08,.7,1.14,.49,1.15,-1.12,1.11,-1.73,.03,-.45,.82
77,NIFTY100 Alpha 30,-1.16,-.17,-1.19,.35,.67,1.53,-.05,1.2,.7,.94,1.23,1,1.76,-.39,.91,-2.04,1.74,-2.36,-2.13,-.3,1.91
78,NIFTY500 Value 50,-1.89,-.04,-.87,.09,.24,-.05,-.44,1.95,.68,1.03,.1,1.16,1.57,-.02,1.58,-2.96,1.5,-2.47,-2.25,.21,1.38
79,Nifty100 Low Volatility 30,-1.36,-.46,.28,-.08,-.44,.83,.6,.01,.3,-.19,.73,-.54,.39,.7,.86,-1.57,-.26,.18,.16,-.67,.71
80,NIFTY Alpha Low-Volatility 30,-1.61,-.45,-.23,-.26,-.17,1.07,.17,-.14,.45,.53,.73,.1,.43,.62,1.09,-1.83,.69,-.98,-.15,-.24,.56
81,NIFTY Quality Low-Volatility 30,-1.34,-.43,.07,-.05,-.32,.71,.72,.02,.34,-.05,.63,-.46,.35,.77,.75,-1.4,-.03,.45,.5,-.41,.59
82,NIFTY Alpha Quality Low-Volatility 30,-1.66,-.18,-.15,.43,.07,.78,.59,.04,.84,.24,1.19,-.04,.47,.88,1.19,-1.6,.73,-.17,-.3,.16,1.15
83,NIFTY Alpha Quality Value Low-Volatility 30,-2.04,-.46,-.08,.2,.42,.71,.38,.18,.86,.28,1.57,.35,.76,.53,.74,-2.19,1.04,-.6,-.7,.39,1.41
84,NIFTY200 Quality 30,-1.33,-.42,.12,.21,.06,.69,1.04,.63,.71,-.09,1.42,-.15,.67,.53,.67,-1.43,.3,.15,.15,-.3,.44
85,NIFTY Midcap150 Quality 50,-1.1,-.27,.06,.19,.22,.55,.42,.44,.49,1.47,1.75,.71,.38,.75,1.22,-1.45,.58,-1.14,-.23,.17,.56
86,Nifty200 Momentum 30,-1.46,-.08,-.51,.01,1.09,.64,-.01,.81,1.07,.77,1.61,.45,1.08,.28,1.09,-1.9,1.86,-2.23,-1.43,.03,1.86
87,Nifty100 ESG Sector Leaders,-.97,-.88,-.29,-.1,-.1,1.57,.33,0,.18,.35,.94,-.02,.52,.4,.5,-1.51,.12,-.64,-.04,-.86,.26
88,Nifty200 Alpha 30,-1.77,-.03,-.94,.37,.85,.48,-.21,.95,1.08,1.39,1.47,.63,.93,.78,.93,-2.37,1.65,-2.48,-1.92,.22,2.38
89,Nifty Midcap150 Momentum 50,-1.21,-.61,-.93,.44,.29,.56,-.39,.69,.76,1.68,1.17,1.12,1.02,.97,.69,-2.1,1.46,-2.66,-.84,.4,1.38
90,Nifty Smallcap250 Quality 50,-1.21,0,-1.04,.34,-.08,.42,-.4,-.9,.94,1.63,.9,.97,1.61,-.28,.58,-2.72,.48,-1.77,-1.46,-.57,.28
91,NIFTY100 ESG,-1.13,-.85,-.21,.02,-.19,1.45,.19,.1,.25,.32,.88,-.03,.56,.28,.52,-1.4,.06,-.52,-.11,-.63,.36
92,NIFTY100 Enhanced ESG,-1.13,-.85,-.21,.01,-.19,1.45,.19,.1,.25,.32,.88,-.03,.56,.29,.52,-1.4,.07,-.51,-.11,-.63,.36
93,NIFTY50 Equal Weight,-1.52,-.5,0,-.23,-.25,1.43,.23,.62,.19,.26,.82,.07,.67,.23,.77,-1.68,.15,-.74,-.31,-.5,.39
94,Nifty 50 Futures Index,-1.06,-.81,-.21,-.13,.07,1.52,.23,.28,.21,.2,.74,-.1,.48,.27,.29,-1.42,.05,-.75,-.11,-.87,.24
95,Nifty 50 Arbitrage,.12,.03,.01,.06,-.07,.08,.09,-.08,-.02,.06,.14,.02,.03,-.02,.2,-.08,-.03,.1,-.01,.08,-.02
96,Nifty Aditya Birla Group,,,,,,,,,,,,,,,,,,,,,
97,Nifty 8-13 yr G-Sec,.05,-.09,-.1,.09,0,.02,.24,.15,.02,-.09,.07,.15,.07,.08,.09,.04,-.04,-.11,.29,.09,.23
98,Nifty 4-8 yr G-Sec Index,.01,-.03,-.03,.05,0,.02,.13,.14,.02,-.04,.08,.1,.04,.06,.07,.04,-.02,-.06,.22,.07,.14
99,Nifty 11-15 yr G-Sec Index,.09,-.05,-.11,.04,.18,.02,.25,.13,.02,-.11,.12,.19,.1,.1,.13,.06,-.05,-.12,.28,.18,.22
100,Nifty 15 yr and above G-Sec Index,.06,-.14,-.12,.13,.05,.02,.46,.13,.02,-.16,.11,.22,.17,.08,.3,.1,-.04,-.25,.53,.37,.26
101,Nifty Composite G-sec Index,.05,-.08,-.08,.08,.03,.02,.26,.13,.02,-.09,.08,.16,.09,.09,.11,.06,-.02,-.14,.31,.16,.2
102,Nifty 10 yr Benchmark G-Sec,.04,-.1,-.1,.12,-.01,0,.25,.1,0,-.13,.08,.13,.07,.07,.05,.05,-.01,-.13,.28,.08,.22
103,Nifty 10 yr Benchmark G-Sec (Clean Price),.04,-.1,-.1,.12,-.01,0,.25,.1,0,-.13,.08,.13,.07,.07,.05,.05,-.01,-.13,.28,.08,.22
104,Nifty 1D Rate Index,.02,.02,.02,.05,.04,.02,.02,.07,.02,.02,.02,.02,.02,.06,.02,.02,.02,.02,.05,.02,.04
105,Nifty50 USD,,-1,-.24,-.15,.18,1.64,.34,.15,.16,.48,.91,-.06,.54,.19,.46,-1.54,0,-.65,-.22,-.72,.15
