,Index Name,ind_close_all_25022026.csv,ind_close_all_24022026.csv,ind_close_all_23022026.csv,ind_close_all_20022026.csv,ind_close_all_19022026.csv,ind_close_all_18022026.csv,ind_close_all_17022026.csv,ind_close_all_16022026.csv,ind_close_all_13022026.csv,ind_close_all_12022026.csv,ind_close_all_11022026.csv,ind_close_all_10022026.csv,ind_close_all_09022026.csv,ind_close_all_06022026.csv,ind_close_all_05022026.csv,ind_close_all_04022026.csv,ind_close_all_03022026.csv,ind_close_all_02022026.csv,ind_close_all_01022026.csv
71,Nifty MidSmall IT & Telecom,.28,-3.82,-1.5,-.83,-1.84,-.46,.54,.9,-1.96,-3.5,-.64,.54,1.18,-1.55,-.88,-2.38,2.42,.07,-.6
72,Nifty MidSmall India Consumption,.42,-.56,.08,.31,-1.91,.53,-.12,.53,-1.61,-.24,.12,.66,2.11,.55,.04,1.14,2.9,.32,-1.24
73,Nifty REITs & InvITs,.33,-1.02,.1,-.4,-.02,-.57,.2,.12,-1.14,-.8,.64,.57,1.33,.59,.24,.32,-.91,0,.92
74,Nifty Consumer Durables,.15,-.09,-.26,.35,-1.93,.23,.66,.65,-1.29,.4,.52,.03,3.6,.96,-.82,2.66,3.05,.48,-.45
75,Nifty Non-Cyclical Consumer,-.15,-.99,.32,.37,-1.89,.4,.17,.58,-1.84,-.25,-.05,.71,1.09,.92,-.44,1.32,1.72,.77,-1.42
76,Nifty India Manufacturing,1.35,-.03,.14,.68,-1.49,.66,.18,.36,-1.34,-.17,.76,.46,1.35,-.05,-.59,.83,3.07,1.52,-2.36
77,NIFTY100 Alpha 30,.64,-.52,.63,.68,-1.72,.44,.48,.38,-1.12,.27,.86,-.13,.86,.25,-.61,1.07,3.21,1.43,-2.48
78,NIFTY500 Value 50,1.06,.68,.12,.88,-1.07,.76,.29,1.11,-1.93,-.47,.4,.65,1.14,.11,-.47,1.82,2.14,1.81,-3.23
79,Nifty100 Low Volatility 30,.52,-.78,.64,.56,-1.31,.33,.41,.74,-1.13,-.53,.4,.07,.7,.27,-.47,-.08,1.83,.82,-1.46
80,NIFTY Alpha Low-Volatility 30,.25,-.39,.99,.48,-1.16,.53,.29,.69,-.64,.47,.88,-.11,.95,.17,-.31,.73,2.16,.98,-1.92
81,NIFTY Quality Low-Volatility 30,.82,-.64,.64,.56,-1.45,.22,.58,.5,-1.4,-.64,.22,.26,.24,.28,-.2,-.31,1.68,.63,-1.45
82,NIFTY Alpha Quality Low-Volatility 30,.93,-.12,.78,.62,-1.43,.45,.65,.57,-1.14,.1,.5,.25,.38,.19,.03,.16,1.94,.98,-1.8
83,NIFTY Alpha Quality Value Low-Volatility 30,1.01,-.78,.53,.48,-1.58,.27,.53,.52,-1.33,-.81,.37,.21,.27,.07,-.35,-.29,1.73,1.13,-1.67
84,NIFTY200 Quality 30,1.1,-1.13,-.14,.45,-1.73,.17,.81,.79,-1.68,-1.36,-.45,.26,.54,-.05,-.54,-.83,1.6,1.07,-2.07
85,NIFTY Midcap150 Quality 50,1.06,-.61,.04,.45,-1.41,.6,.64,.4,-1.91,-1.11,-.09,.57,1.03,-.18,-.53,.26,3.22,.79,-1.39
86,Nifty200 Momentum 30,.73,-.31,.18,.95,-1.46,.59,.36,.18,-1.55,.75,.69,.08,1.75,.35,-.51,.96,2.99,1.11,-3.01
87,Nifty100 ESG Sector Leaders,.37,-1,.46,.33,-1.55,.3,0,.78,-1.48,-.8,-.05,.25,.39,.1,-.5,.2,2.58,.98,-1.66
