,SYMBOL,NAME OF COMPANY,cm30OCT2023bhav.csv,cm27OCT2023bhav.csv,cm26OCT2023bhav.csv,cm25OCT2023bhav.csv,cm23OCT2023bhav.csv,cm20OCT2023bhav.csv,cm19OCT2023bhav.csv,cm18OCT2023bhav.csv,cm17OCT2023bhav.csv,cm16OCT2023bhav.csv,cm13OCT2023bhav.csv,cm12OCT2023bhav.csv,cm11OCT2023bhav.csv,cm10OCT2023bhav.csv,cm09OCT2023bhav.csv,cm06OCT2023bhav.csv,cm05OCT2023bhav.csv,cm04OCT2023bhav.csv,cm03OCT2023bhav.csv
33,ACI,Archean Chemical Industries Limited,-2.1649654264076355,2.9404287772222735,-0.5226333979600477,-1.7963576158940435,-4.52102434397724,-2.2634221707222832,-1.9986372927549467,-1.520912547528507,1.8064516129032224,1.385148133897653,0.2004780630734759,-0.07704753833115031,3.278427627914383,4.333748443337488,2.5106382978723403,-1.9362376898681393,-0.7373042829922843,-0.9274458305975197,3.455888596416748
34,ACL,Andhra Cements Limited,-2.743902439024393,4.960000000000006,-0.37194473963867625,1.1284255776464236,-4.710701484895042,-2.7874564459930284,2.762148337595911,0.15368852459016977,1.1398963730569889,0.0,-0.9748589020010291,1.0892116182572584,0.0,-0.31023784901757717,-1.8274111675126874,1.5463917525773196,0.31023784901757717,0.5720228809152337,-1.2326656394452888
35,ADANIENT,Adani Enterprises Limited,1.6536233806428835,2.655228758169935,-2.383695170580425,-2.237238212808355,-3.555091383812007,-0.3517608858546257,-0.17246036528352449,-0.9080052709603106,-0.03910511042047536,-1.0266647654356305,-2.0667504538472175,0.713252431085751,-0.38826401953329354,2.280356996642933,-1.4325491303821476,0.4764125124171346,0.05679628390028564,3.2547910775997413,-1.1040225361448317
36,ADANIGREEN,Adani Green Energy Limited,5.09243311516822,2.6823085539114544,-3.1957998059692976,-0.5279291553133489,-4.276476661413903,-1.3772775991425532,-0.6442681433363457,-1.0119643704211272,1.0492117596932278,-1.064390346717254,0.026353238813050125,-1.4338407189983966,2.415536046820968,0.0852015549283726,-2.3198959687906324,0.16672745271713882,-1.2604177384504578,-0.21048308434725274,-1.3371827989667155
37,ADANIPORTS,Adani Ports and Special Economic Zone Limited,0.33231083844581066,1.5642240540014218,0.1625276296970485,-0.30462116793052335,-2.7972027972027886,0.10090180992620981,-0.7200100175306786,-0.8073531238355482,-0.06826785825109595,-0.9953917050691272,-0.1472482974415664,0.012272197336935967,-0.5674191580231821,3.727612176444535,-4.899187481191699,0.6725642268540905,0.07276255154014342,-0.8178975222516183,0.7574380415681998
38,ADANIPOWER,Adani Power Limited,1.0729916701962479,8.186955857644708,4.685001598976666,-1.185021330383947,-6.458764410286734,-1.7854550733052625,3.144183260967211,-0.461997019374072,1.7746094342484524,-3.5829189821585263,-1.5406767458603376,-0.7289879931389398,0.04290004290005266,2.2368421052631513,-6.121328575349989,-0.4236709033757035,-1.6664426824351535,1.4589582765203226,-2.84805934560869
39,ADANITRANS,Adani Transmission Limited,,,,,,,,,,,,,,,,,,,
40,ADFFOODS,ADF Foods Limited,0.15024683408457726,3.510331037547201,4.18981481481482,-0.9174311926605505,-7.529162248144221,-1.504073532483808,-1.784981534673777,1.3305613305613258,-3.258246178600159,1.0980073200487956,19.601167315175104,-0.3151515151515179,-0.6981222917669662,-0.6220095693779959,-2.4731684554363094,1.3718070009460765,0.3084223013048663,-0.2838892831795573,0.979455327281406
41,ADL,Archidply Decor Limited,,,,,,,,,,,,,,,,,,,
42,ADORWELD,Ador Welding Limited,1.8227503087602819,-1.1492801212427457,-0.13453291852349358,1.2256362243595083,-6.086887014907467,-1.913050295973977,3.864006514657984,1.1740473738414006,1.935836062820186,5.404328774399145,-0.6508069126247626,2.682078836862785,-0.6370855578985272,0.6548049132947976,-0.12628540501532237,-0.1171276691594001,0.17600072205424844,0.253359272496942,-0.13103198987889195
