,SYMBOL,NAME OF COMPANY,cm26JUL2023bhav.csv,cm25JUL2023bhav.csv,cm24JUL2023bhav.csv,cm21JUL2023bhav.csv,cm20JUL2023bhav.csv,cm19JUL2023bhav.csv,cm18JUL2023bhav.csv,cm17JUL2023bhav.csv,cm14JUL2023bhav.csv,cm13JUL2023bhav.csv,cm12JUL2023bhav.csv,cm11JUL2023bhav.csv,cm10JUL2023bhav.csv,cm07JUL2023bhav.csv,cm06JUL2023bhav.csv,cm05JUL2023bhav.csv,cm04JUL2023bhav.csv,cm03JUL2023bhav.csv
1519,SHEMAROO,Shemaroo Entertainment Limited,,,,,,,,,,,,,,,,,,
1520,SHILPAMED,Shilpa Medicare Limited,2.00896306598671,2.6816883529038362,0.1111993645750668,-1.4249921703726938,0.6303183107469271,0.22109917877447524,0.3168567807351077,-0.6297229219143576,5.061197485941122,0.18227009113504933,-0.1654259718775848,5.811307544197453,-3.480317621219805,0.6803878210580031,-3.3377178559684424,-0.13136288998357215,5.619146722164408,1.424802110817946
1521,SHIVALIK,Shivalik Rasayan Limited,2.0451108042348856,-1.5218235979795363,1.4386126256322729,-2.2160842754367938,3.051565499437341,2.719793295709526,-0.4602368866328226,-1.104417670682731,-2.013510854594349,-2.8791642779794917,2.6615223646351063,-0.019614253023861036,-0.3583061889250814,-1.4003083247687536,-0.7206173075696675,0.2621483375959021,-0.49624634177375965,-0.18416206261510706
1522,SHIVAMAUTO,Shivam Autotech Limited,5.802707930367505,0.5836575875486465,-2.4667931688804634,-2.226345083487933,1.3157894736842024,0.3773584905660431,-1.486988847583638,0.37313432835820104,1.9011406844106464,-2.59259259259259,1.6949152542372854,-1.8484288354898335,-2.169981916817352,-2.296819787985873,4.428044280442801,5.447470817120631,0.0,2.186878727634198
1523,SHIVAMILLS,Shiva Mills Limited,,,,,,,,,,,,,,,,,,
1524,SHIVATEX,Shiva Texyarn Limited,5.516941789748053,-1.7498932991890834,0.904392764857891,-0.5567451820128528,-1.3519222644697884,1.413881748071972,-3.1133250311332503,2.336448598130841,-0.2542372881355908,-2.115304852758189,-0.9449465899753537,0.2884219200659321,-1.8203883495145634,-0.7627458851866743,0.5651998385143342,0.24281667341157198,-0.24222850222042563,-0.04035512510089699
1525,SHK,S H Kelkar and Company Limited,0.4799301919720867,1.5507310589277803,-0.9653356735410342,-0.08768084173607568,-0.5233318796336751,-0.8217993079584677,-0.30185424752049034,0.30276816608997276,1.3590530469092479,-1.59620362381364,-0.12925463162429252,0.869187309865276,-2.664974619289345,-0.6722689075630228,0.9329940627650503,-0.21159542953872196,-0.37942664418211525,1.2809564474807857
1526,SHOPERSTOP,Shoppers Stop Limited,1.4169779724333376,1.6831488637107748,-2.3409018228333807,-0.8811969063015145,2.0508507472342656,-1.3089005235602094,-2.18586060454659,-1.0994441012970941,-1.3105760438890584,-0.6660611565243718,0.916590284142988,0.8628659476117103,-0.44179910412959716,-0.21430320842517758,-0.36603221083455345,0.8118081180811837,-0.6901606303059888,0.24490295720320823
1527,SHRADHA,Shradha Infraprojects Limited,,,,,,,,,,,,,,,,,,
1528,SHREDIGCEM,Shree Digvijay Cement Co.Ltd,-1.4050091631032273,6.714471968709246,-0.7119741100323588,-0.5151320025756673,-1.01975780752071,-0.1908396946564777,-0.2538071065989884,0.8962868117797732,-1.076630778974045,3.135205747877212,-0.8419689119171058,0.7832898172323872,-3.6477987421383715,-0.5006257822277917,0.25094102885822184,2.0486555697823414,-0.7623888182973424,-0.25348542458808976
1529,SHREECEM,SHREE CEMENT LIMITED,2.502765837056308,1.9141885785600519,0.6420875967733203,-1.3682742358190498,-2.5771694210576697,0.3342624200098098,-0.7036253081211327,-0.9108594412820263,0.7729904628627174,-0.44700635577502007,1.2775851740842983,-0.2579390689211557,0.560850969399187,-1.384063042585129,-0.8756778880589409,1.45565454624729,-0.1618921271920703,0.981937458266085
1530,SHREEPUSHK,Shree Pushkar Chemicals & Fertilisers Limited,0.9492812584757256,0.4632152588555827,-0.13605442176870747,-0.08156606851550065,0.1361285053090117,-0.4067245119305857,-1.0464180305875979,-0.37423148890671853,0.10703773080011617,-0.2402562733582579,-0.5310674455655867,-1.0249671484888245,-3.2791052364006044,-1.4775857751064447,1.0630220197418347,4.88452349349616,-0.8423269281389809,3.3179222192004323
1531,SHREERAMA,Shree Rama Multi-Tech Limited,,,,,,,,,,,,,,,,,,
1532,SHRENIK,Shrenik Limited,5.000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.761904761904765,5.000000000000004,-4.761904761904765,5.000000000000004,0.0,0.0,0.0,5.263157894736848
1533,SHREYANIND,Shreyans Industries Limited,,,,,,,,,,,,,,,,,,
1534,SHREYAS,Shreyas Shipping & Logistics Limited,0.9278493283478647,0.13867702121758424,-1.3812910284463926,2.8121484814398197,0.22547914317925913,-0.14072614691809737,0.05632216277104721,-1.6479711951253257,0.11091085539998173,-0.40044186688761263,-2.4909115389793994,4.063331932184391,0.4645270270270367,1.1965811965811934,1.5184381778741864,-0.6322747521195542,-1.514293801302016,3.6678403755868545
1535,SHRIPISTON,Shriram Pistons & Rings Limited,4.999593528981384,4.9976526823439,-47.50061616365307,1.2270356089816368,-0.7473774255999239,2.4563507622759877,-3.7067472127215506,0.6977680368564818,-4.999256379204117,3.3099936346276304,3.5008405652233052,2.6228055859930524,0.5414654727860946,-1.3458514475996628,4.798371461806902,-0.4919455966046239,4.466557500944708,4.999338711810608
1536,SHRIRAMFIN,Shriram Finance Limited,-0.23855223471345813,1.5142236820130293,-1.9219219219219243,2.7287769582410237,-0.1623967520649638,0.08967855841716835,0.82791749081662,-0.8072201356578333,-0.2850754611514762,-0.9138742730545555,2.5444425512580198,2.1761838440111423,0.26765972303038155,-2.977954667344116,-1.7145235122763263,1.3809979186589387,1.1234676754173896,1.3110880590133702
1537,SHRIRAMPPS,Shriram Properties Limited,0.37174721189591076,0.5231689088191245,-0.22371364653242576,-0.14892032762473345,1.7424242424242509,-0.6772009029345415,-2.8508771929824603,-2.1459227467811157,7.126436781609204,1.1627906976744187,-0.7692307692307693,0.231303006939099,-1.0678871090770448,-0.757002271006813,3.3646322378716724,0.3139717425431644,-1.393188854489151,-0.3086419753086464
1538,SHYAMCENT,Shyam Century Ferrous Limited,-1.6826923076923146,4.522613065326644,0.0,-1.4851485148514887,-1.2224938875305624,-0.9685230024213041,-1.1961722488038278,7.455012853470433,1.5665796344647556,-0.7772020725388711,-2.030456852791871,0.7672634271099672,0.7731958762886708,-1.272264631043257,0.5115089514066388,1.2953367875647668,-0.2583979328165411,-1.2755102040816324
1539,SHYAMMETL,Shyam Metalics and Energy Limited,0.17510944340212348,1.1897228198962126,2.1725074356653393,0.781962726443373,0.9472437837126604,0.8357654550278679,-0.25142252216489225,4.263245033112596,4.033299842112805,-1.14926220204312,0.3131226871619601,0.44317369549678665,-1.032823995472546,-0.9529147982062875,-0.7786429365962211,-0.2773155851358846,-0.5241379310344765,1.0171380799777001
1540,SHYAMTEL,Shyam Telecom Limited,0.0,0.0,0.0,-1.4285714285714235,6.060606060606066,-5.0359712230215905,0.0,-0.7142857142857117,2.1897810218978155,8.730158730158728,-3.816793893129771,0.0,-6.428571428571431,-4.109589041095888,4.285714285714283,0.0,0.0,0.0
1541,SIEMENS,Siemens Limited,1.9105003046510103,-0.05818831362148072,2.2399313770251466,-0.5900313583099597,-2.0200250650208154,0.23503032431482765,-0.012155263228973236,0.33335140115994705,-1.033969450293018,-2.6248090157619126,1.652684118302979,3.2666657527861958,-1.16516955926784,-1.0802117536688383,0.5592991913746631,0.18362497299633243,-0.6505788139344593,-1.0354577918198835
1542,SIGACHI,Sigachi Industries Limited,-0.6702632009154852,-0.6335282651072088,1.1834319526627295,1.6371533578349406,-0.03340013360052302,-0.9101439682277015,2.632472826086957,0.3408316291751875,-1.543624161073833,-0.9637753406447249,0.23317788141238796,5.001748863238899,-3.1504065040650446,-0.2702702702702741,-0.13495276653170624,-1.5118790496760297,-1.2307187397440105,-1.582687338501303
1543,SIGIND,Signet Industries Limited,,,,,,,,,,,,,,,,,,
1544,SIKKO,Sikko Industries Limited,,,,,,,,,,,,,,,,,,
1545,SIL,Standard Industries Limited,,,,,,,,,,,,,,,,,,
1546,SILGO,Silgo Retail Limited,,,,1.2820512820512742,-9.151414309484194,3.264604810996561,18.53360488798371,-0.40567951318457557,19.951338199513373,-1.4388489208633126,-0.23923444976075198,-0.9478672985782125,0.23752969121140477,-0.23696682464455313,0.9569377990430759,0.23980815347720458,0.24038461538461878,-1.187648456057007
1547,SILINV,SIL Investments Limited,1.3656316046171317,-3.2100708103855196,0.6971953731579745,-0.8795351028741986,0.48926767676768035,0.3166561114629512,-1.2662185399406005,3.0112721417069315,-1.2718600953895072,-0.631911532385466,-0.9079524107701871,-1.2826456498222945,-0.7363092498849447,0.2460402890973432,0.030764497769563418,1.025641025641029,-2.706380405201085,-1.7674142284271463
1548,SILLYMONKS,Silly Monks Entertainment Limited,4.945054945054957,4.2979942693409745,1.4534883720930232,4.242424242424238,4.761904761904762,-0.3164556962025361,0.6369426751592447,3.630363036303623,1.0000000000000024,-0.6622516556291367,2.0270270270270196,4.225352112676067,-4.054054054054063,0.0,-1.3333333333333286,-2.5974025974025996,1.3157894736842175,0.33003300330032304
1549,SILVERTUC,Silver Touch Technologies Limited,0.07608419984783447,1.2583461736004198,0.47735776028898613,-0.856996674341255,0.3079291762894505,0.6846660638160386,1.8150729975009956,0.44920068701281246,-0.8254716981132164,0.8323424494649317,-0.11876484560569772,0.2380952380952321,1.2048192771084338,-1.5161502966381015,0.6635700066357001,-4.8731220805453885,-1.2467273407305821,0.35030651820343656
1550,SIMBHALS,Simbhaoli Sugars Limited,-1.8218623481781346,-2.755905511811021,0.9940357852882704,2.028397565922921,3.1380753138075312,0.8438818565400814,-1.4553014553014612,0.8385744234800808,0.21008403361344835,-1.8556701030927807,1.0416666666666665,-0.4149377593361055,-2.2312373225152013,0.6122448979591778,0.2044989775051154,0.8247422680412342,-0.410677618069821,-2.98804780876494
1551,SIMPLEXINF,Simplex Infrastructures Limited,-0.9630818619582574,-0.47923322683706754,2.454991816693944,-0.9724473257698565,-0.4838709677419309,0.4862236628849224,0.48859934853420894,-0.647249190938509,-1.2779552715655018,1.6233766233766231,0.9836065573770515,-9.896602658788778,-1.455604075691412,-2.275960170697005,4.302670623145388,-0.14814814814813973,-0.7352941176470588,0.0
1552,SINTERCOM,Sintercom India Limited,-2.9521674140508347,10.48720066061108,-0.5747126436781632,0.6611570247933861,0.0,0.0,-1.3050570962479562,0.2452984464431702,1.0743801652892537,-1.5059015059015013,0.4086636697997548,0.20475020475020475,1.0761589403973486,-0.24772914946325114,0.04130524576620996,-0.2472187886279334,0.12376237623761671,-1.902063941723994
1553,SIRCA,Sirca Paints India Limited,0.28482300284823314,0.9861662785919644,3.223526085112409,1.6673853672559877,0.6073752711496812,0.5379470776388552,-0.5638282492410136,-0.9451525132464427,-0.39937241477678903,-1.6690042075736296,-0.6687099470604563,0.5885650224215151,-0.3908431044109373,-0.6104328523862345,0.9665219218377893,0.933125972006224,-0.6740626316528673,2.9939253688169
