,Index Name,ind_close_all_27012025.csv,ind_close_all_24012025.csv,ind_close_all_23012025.csv,ind_close_all_22012025.csv,ind_close_all_21012025.csv,ind_close_all_20012025.csv,ind_close_all_17012025.csv,ind_close_all_16012025.csv,ind_close_all_15012025.csv,ind_close_all_14012025.csv,ind_close_all_13012025.csv,ind_close_all_10012025.csv,ind_close_all_09012025.csv,ind_close_all_08012025.csv,ind_close_all_07012025.csv,ind_close_all_06012025.csv,ind_close_all_03012025.csv,ind_close_all_02012025.csv,ind_close_all_01012025.csv
64,Nifty Mobility,-1.47,-1.43,1.1,-.32,-2.3,-.47,.5,.66,.44,2.12,-3.42,-1.2,-.71,-.39,-.17,-2.54,-.62,2.59,.61
65,Nifty India Defence,-3.61,-1.67,1.2,-3.48,-2.69,2.05,2.82,2.61,-.19,3.2,-5.83,-2.42,.33,-1.16,1.94,-3.37,-.28,.58,.74
66,Nifty Financial Services Ex-Bank,-2.6,-1.21,.66,-.19,-2.12,.6,-.54,2.06,.21,2.97,-2.61,-1.8,-1.5,-.74,.8,-2.75,.29,3.38,.77
67,Nifty Housing,-1.15,-.79,1.07,-.74,-1.99,.94,.25,.94,.75,2.23,-3.14,-1.85,-1.32,-1.02,.78,-2.6,-.69,1.19,.22
68,Nifty Transportation & Logistics,-1.39,-1.7,1.4,-.29,-2.74,-.73,.19,.72,.29,2.15,-3.55,-1.16,-.46,-.59,-.37,-2.44,-.76,2.84,.79
69,Nifty MidSmall Financial Services,-3.13,-1.35,1.36,-.95,-2.15,.92,-.62,1.88,1.72,3.08,-2.88,-2.24,-1.46,-1.38,.97,-3.39,-.35,2.13,.53
70,Nifty MidSmall Healthcare,-3.35,-2.37,1.41,-.42,-.78,1.69,-.04,.24,-1.78,.63,-3.19,-3.14,-.9,-1.08,1.55,-.86,-.09,.68,.57
71,Nifty MidSmall IT & Telecom,-4.15,-1.11,5,-.94,-2.66,1.54,-.22,.78,1.36,1.09,-4.2,-.88,-1.24,-.87,.95,-2.18,-.7,.84,.15
72,Nifty MidSmall India Consumption,-2.32,-1.64,1.57,-1.22,-2.84,.4,.3,.12,.42,1.23,-4.28,-2.37,-.63,-1.26,.86,-1.93,.05,1.12,.22
73,Nifty REITs & InvITs,.06,.26,-.85,-.35,.07,-.34,.17,.42,.21,.7,-1.06,.3,.34,-.27,.4,-.06,.25,.35,.74
74,Nifty Consumer Durables,-2.14,-1.19,1.97,-.95,-4.06,.84,.42,-.28,.5,.41,-3.94,-1.8,-.99,-2.16,.37,-1.65,.69,1.89,.77
75,Nifty Non-Cyclical Consumer,-1.69,-.4,1.12,-.23,-2.35,-.3,.86,-.21,.88,-.3,-2.85,-.82,.05,-.46,-.34,-1.96,.09,1.56,.26
76,Nifty India Manufacturing,-2.05,-1.67,1.08,-.68,-1.78,.32,.85,.85,-.15,2.07,-3.15,-1.69,-.5,-.67,.72,-2.25,-.36,1.56,.54
77,NIFTY100 Alpha 30,-2.43,-1.41,1.32,-.51,-2.92,-.1,.79,.8,.62,1.35,-3.8,-1.3,-.68,-1.1,-.44,-2.66,-.89,1.69,.37
78,NIFTY500 Value 50,-2.45,-1.37,.45,-.84,-1.25,1.02,.85,1.58,.4,3.12,-3.48,-2.04,-1.52,-.18,1.12,-3.39,.59,1.49,.23
79,Nifty100 Low Volatility 30,-.9,-.59,.66,.75,-.84,.43,.09,-.06,.01,-.27,-1.37,-.36,0,-.01,.33,-1.21,-.47,1.91,.33
80,NIFTY Alpha Low-Volatility 30,-1.65,-.96,1.25,.37,-1.11,.19,.19,.24,-.1,-.08,-2.29,-.85,-.16,-.83,-.04,-1.29,-.89,1.52,.23
81,NIFTY Quality Low-Volatility 30,-1.26,-.51,.72,.73,-.81,.32,.17,-.23,.16,-.62,-1.6,-.37,.33,.25,-.02,-1.42,-.26,1.97,.38
82,NIFTY Alpha Quality Low-Volatility 30,-1.62,-1.1,1.04,.09,-1.08,.05,.66,-.11,-.35,-.12,-2.09,-.89,.27,-.29,.28,-1.86,-.49,1.57,.26
83,NIFTY Alpha Quality Value Low-Volatility 30,-1.81,-.65,.74,.44,-.9,.25,.16,-.24,.01,-.03,-1.83,-.46,-.05,.03,.11,-1.51,-.81,1.59,.04
84,NIFTY200 Quality 30,-1.95,-.58,1.05,-.18,-.87,.21,.47,-.12,.14,-.59,-1.98,-.35,.1,-.05,.26,-1.91,-.36,1.65,.16
85,NIFTY Midcap150 Quality 50,-2.97,-1.41,2.29,-.89,-1.53,.45,.28,.8,.41,1.14,-3.61,-1.47,-.04,-.96,.72,-1.95,-.31,.63,.3
86,Nifty200 Momentum 30,-2.94,-1.03,2.37,-.26,-3.53,.16,-.38,.37,.89,.84,-3.68,-.76,-1.23,-1.61,-.24,-2.14,-.85,1.81,.26
87,Nifty100 ESG Sector Leaders,-1.29,-.73,.45,.27,-1.76,.26,-.02,.67,.19,.71,-1.94,-.62,-.78,-.28,.34,-1.77,-.59,1.71,.48
88,Nifty200 Alpha 30,-2.89,-1.64,1.87,-1.29,-3.89,.32,.39,.6,.67,2.27,-4.44,-2.03,-1.78,-1.59,.2,-3.16,-.47,1.75,.45
89,Nifty Midcap150 Momentum 50,-3.33,-1.53,2.63,-1.49,-3.12,.76,-.43,.91,.47,2.05,-4.51,-2.13,-1.72,-1.63,.94,-2.5,-.32,1.15,.38
90,Nifty Smallcap250 Quality 50,-3.37,-2.37,.82,-1.48,-2.18,.82,.11,.41,.76,1.31,-3.66,-2.1,-1.2,-1.62,1.34,-2.81,-.81,.64,.94
91,NIFTY100 ESG,-1.76,-.86,.54,.12,-1.49,.37,-.13,.8,.07,.9,-2.25,-.7,-.85,-.24,.24,-1.9,-.26,1.9,.48
92,NIFTY100 Enhanced ESG,-1.76,-.87,.55,.12,-1.49,.37,-.14,.8,.06,.9,-2.25,-.69,-.85,-.24,.24,-1.9,-.27,1.9,.47
93,NIFTY50 Equal Weight,-1.44,-.64,.55,.24,-1.18,.58,.07,.54,.04,.82,-1.95,-.79,-.6,-.15,.46,-1.74,-.31,2.22,.35
94,Nifty 50 Futures Index,-1.17,-.64,.28,.41,-1.27,.57,-.47,.48,-.03,.47,-1.44,-.62,-.56,-.06,.31,-1.54,-.78,1.61,.39
95,Nifty 50 Arbitrage,.03,.11,-.04,.1,-.06,.04,.07,-.03,.13,-.05,0,.15,-.08,-.01,.06,-.03,.02,.18,.02
96,Nifty Aditya Birla Group,,,,,,,,,,,,,,,,,,,
97,Nifty 8-13 yr G-Sec,.28,.12,-.07,.12,.18,.09,-.11,.39,.14,.11,-.47,.01,.03,-.12,.11,.14,.06,-.03,-.1
98,Nifty 4-8 yr G-Sec Index,.2,.08,-.01,.08,.12,.07,-.05,.34,.1,.12,-.38,-.02,-.02,-.03,.05,.1,.08,.03,0
99,Nifty 11-15 yr G-Sec Index,.27,.19,-.07,.18,.22,.16,-.11,.43,.11,.1,-.59,.02,0,-.05,.13,.07,.06,0,-.15
100,Nifty 15 yr and above G-Sec Index,.25,.17,-.04,.3,.42,.2,-.18,.4,.08,.08,-.79,-.07,-.07,-.1,.27,.06,.05,.06,-.23
101,Nifty Composite G-sec Index,.26,.13,-.05,.14,.2,.11,-.11,.38,.13,.1,-.5,-.01,-.01,-.08,.12,.12,.05,0,-.11
102,Nifty 10 yr Benchmark G-Sec,.32,.13,-.1,.12,.21,.1,-.11,.41,.13,.11,-.49,-.01,.04,-.13,.13,.13,.08,-.04,-.12
103,Nifty 10 yr Benchmark G-Sec (Clean Price),.31,.11,-.12,.11,.2,.08,-.13,.4,.12,.09,-.52,-.03,.02,-.15,.11,.12,.06,-.06,-.14
104,Nifty 1D Rate Index,.05,.02,.02,.02,.02,.05,.02,.02,.02,.02,.05,.02,.02,.02,.02,.05,.02,.02,.02
105,Nifty50 USD,,-.18,.05,.87,-1.4,.66,-.54,.22,.47,.33,-2.18,-.52,-.7,-.24,.51,-1.67,-.79,1.71,.41
