,Index Name,ind_close_all_23072025.csv,ind_close_all_22072025.csv,ind_close_all_21072025.csv,ind_close_all_18072025.csv,ind_close_all_17072025.csv,ind_close_all_16072025.csv,ind_close_all_15072025.csv,ind_close_all_14072025.csv,ind_close_all_11072025.csv,ind_close_all_10072025.csv,ind_close_all_09072025.csv,ind_close_all_08072025.csv,ind_close_all_07072025.csv,ind_close_all_04072025.csv,ind_close_all_03072025.csv,ind_close_all_02072025.csv,ind_close_all_01072025.csv
87,Nifty100 ESG Sector Leaders,.6,-.01,.49,-.44,-.32,-.02,.52,-.2,-1.01,-.45,-.23,.07,.03,.24,-.16,-.14,.11
88,Nifty200 Alpha 30,.53,.28,1.04,-.79,-.5,-.12,.66,.57,-.96,-.41,.02,-.35,-.44,-.29,-.2,-.28,-.08
89,Nifty Midcap150 Momentum 50,.5,.06,.72,-.85,-.29,-.07,.86,.46,-1.25,-.42,.1,-.41,-.39,-.21,.03,-.32,-.47
90,Nifty Smallcap250 Quality 50,.01,-.23,-.05,-.53,.45,.29,.69,.75,-.42,-.29,.63,-.41,.12,.09,.25,-.05,-.33
91,NIFTY100 ESG,.54,.03,.66,-.63,-.4,.12,.51,-.07,-.82,-.44,-.09,.1,-.06,.37,-.2,-.19,-.2
92,NIFTY100 Enhanced ESG,.55,.02,.66,-.64,-.4,.12,.51,-.08,-.83,-.45,-.09,.1,-.06,.36,-.19,-.19,-.2
93,NIFTY50 Equal Weight,.48,-.24,.3,-.44,-.2,-.02,.55,-.16,-.72,-.43,-.15,.08,-.05,-.05,-.17,-.17,.03
94,Nifty 50 Futures Index,.63,-.13,.38,-.57,-.28,-.08,.39,-.22,-.78,-.54,-.21,.29,0,.12,-.15,-.38,.11
95,Nifty 50 Arbitrage,.01,.01,.09,.04,-.07,.1,.05,-.02,-.01,.05,.02,-.02,.02,.08,-.02,.03,-.01
96,Nifty Aditya Birla Group,,,,,,,,,,,,,,,,,
97,Nifty 8-13 yr G-Sec,.01,-.03,.05,.02,.12,.03,-.02,-.02,.13,0,-.06,-.08,.01,-.01,.01,.07,.2
98,Nifty 4-8 yr G-Sec Index,.01,.01,.01,.1,.09,.02,.03,-.02,-.01,.01,-.02,-.03,.03,.04,-.01,.1,.17
99,Nifty 11-15 yr G-Sec Index,0,0,.09,.14,.08,-.02,-.07,.1,.13,0,-.02,-.12,.06,.06,-.04,.12,.2
100,Nifty 15 yr and above G-Sec Index,-.12,.11,.12,.39,.07,-.05,-.03,.23,.63,-.13,-.12,-.03,-.01,.04,-.2,.3,.33
101,Nifty Composite G-sec Index,-.01,.01,.06,.11,.1,.01,-.01,.03,.2,-.03,-.06,-.05,.01,.02,-.04,.13,.22
102,Nifty 10 yr Benchmark G-Sec,-.03,-.04,.06,0,.08,.01,.02,-.03,.11,-.01,-.03,-.06,.02,-.02,0,.07,.16
103,Nifty 10 yr Benchmark G-Sec (Clean Price),-.04,-.06,.04,-.02,.06,0,0,-.05,.09,-.03,-.05,-.08,.01,-.03,-.02,.05,.15
104,Nifty 1D Rate Index,.02,.02,.04,.01,.01,.01,.01,.04,.01,.01,.01,.01,.04,.01,.01,.01,.01
105,Nifty50 USD,,-.2,.32,-.66,-.55,-.09,.65,-.48,-.99,-.44,-.16,.43,-.55,.13,.27,-.56,.37
