,SYMBOL,NAME OF COMPANY,cm26JUN2024bhav.csv,cm25JUN2024bhav.csv,cm24JUN2024bhav.csv,cm21JUN2024bhav.csv,cm20JUN2024bhav.csv,cm19JUN2024bhav.csv,cm18JUN2024bhav.csv,cm14JUN2024bhav.csv,cm13JUN2024bhav.csv,cm12JUN2024bhav.csv,cm11JUN2024bhav.csv,cm10JUN2024bhav.csv,cm07JUN2024bhav.csv,cm06JUN2024bhav.csv,cm05JUN2024bhav.csv,cm04JUN2024bhav.csv,cm03JUN2024bhav.csv
336,CHOLAFIN,Cholamandalam Investment and Finance Company Limited,-0.07685052572745374,-0.2369750827670389,2.3688059648246615,-2.5821922568985953,-0.8237686554303274,-0.24069043771275314,0.49412577747063524,0.7590000696330402,5.669401420109632,2.007806049688509,-2.0331629839332397,1.6519041746085241,0.1609642883881009,3.66317423360497,4.63699853824914,-4.442633764016606,3.8312787043751664
337,CHOLAHLDNG,Cholamandalam Financial Holdings Limited,-0.8049607148359301,0.8114929139972856,0.5622584045917806,-0.48570096363071186,-0.30602362967267444,0.13964855114627833,0.08541367395272248,1.0474695959199614,2.460004823538862,-0.49198032078715764,0.6805734536082512,3.652377175773261,3.3787865711573195,2.440102555034934,3.273225291029437,-1.048019153453486,2.060857538035953
338,CIGNITITEC,Cigniti Technologies Limited,0.6131777472221189,-0.42554766133806987,-0.018498649598579303,0.05923074075444819,0.7045929018789178,0.08208342660996466,-0.42723929115428916,0.011146615144524304,0.6770657988254183,-0.25372187604939095,-0.36062160755447514,-0.34455929754361553,0.49519696179908135,1.4313229351561647,1.4715462732324234,-1.166534105972813,0.06822057987493582
339,CINELINE,Cineline India Limited,-4.31004027414682,0.2976401388987226,7.348801825789293,2.1208825357364742,-0.8396887759032459,-0.19989236564925877,-2.1588686625545392,0.3017956843217185,3.611632270168848,-0.4745973702637512,1.8220708231006868,4.06430338004947,3.321976149914814,0.21340162185232606,-1.180936313791642,-4.279370205894225,0.08080808080807621
340,CINEVISTA,Cinevista Limited,,,,,,,,,,,,,,,,,
341,CIPLA,Cipla Limited,-1.3736080549443312,-0.31241691039617425,-2.409912101456318,-0.2136129721332139,-0.9584562123349176,-0.9525019050038099,0.6422751238216938,1.3078242853905697,0.2336221162269969,0.6992321516092171,-0.2607137037640541,2.4711971948572384,1.3710223425863235,-1.3327098433481444,2.352056339954196,0.7023100492305605,0.3558595909342084
342,CLEAN,Clean Science and Technology Limited,-2.019234060029433,-0.29686753565822077,0.8742943687181638,0.6234413965087282,3.5506778566817303,2.2442244224422376,0.9812997593038325,-1.499124598774435,-0.38514642831189266,0.4086099963516898,3.4769149458265662,0.32192092107256476,1.3589251439539383,0.2926002926002891,1.5918958031838022,-1.9407049438116195,-0.2105021432945499
343,CLEDUCATE,CL Educate Limited,-1.054728700339847,-0.6635622817229422,-2.60770975056689,0.5815942524803343,1.563585823488527,-2.451700372839229,-0.045172219085253575,0.9922445255474341,-0.8481284631912247,3.089298204709729,3.724304715840385,6.161745827984592,1.6971279373368298,1.9294743845641897,5.845070422535219,-4.697986577181208,-0.7328447701532275
344,CLSEL,Chaman Lal Setia Exports Limited,-0.21889126814180726,-1.370441638898009,1.4570734726917778,0.23386788850705453,-0.21906848271262955,-1.4224684287122675,-2.3740776387552165,0.48818680053424324,2.357045208127092,2.0002885031494912,-0.8013355592654456,0.40708812260536126,3.391928695221601,3.3256587362496806,1.5061023110880172,-5.311040078682067,-1.3821532492725483
345,CMICABLES,CMI Limited,,,,,,,,,,,,,,,,,
