,SYMBOL,NAME OF COMPANY,cm01JAN2024bhav.csv
402,DCMSRIND,DCM Shriram Industries Limited,-0.3913894324853377
403,DCW,DCW Limited,-0.08787346221440626
404,DCXINDIA,DCX Systems Limited,1.5089364195722172
405,DECCANCE,Deccan Cements Limited,2.6110816073641354
406,DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,1.2363850456284924
407,DEEPAKNTR,Deepak Nitrite Limited,-0.2942124778332955
408,DEEPENR,DEEP ENERGY RESOURCES LIMITED,-2.4127310061601728
409,DEEPINDS,Deep Industries Limited,-0.33151326053040797
410,DELHIVERY,Delhivery Limited,-1.2588310854206748
411,DELPHIFX,DELPHI WORLD MONEY LIMITED,3.2632342277012323
412,DELTACORP,Delta Corp Limited,3.8026721479958967
413,DELTAMAGNT,Delta Manufacturing Limited,-1.044932079414838
414,DEN,Den Networks Limited,0.2626970227670728
415,DENORA,De Nora India Limited,-1.5704418089404346
416,DEVIT,Dev Information Technology Limited,
417,DEVYANI,Devyani International Limited,-1.032258064516129
418,DGCONTENT,Digicontent Limited,0.8086253369272159
419,DHAMPURSUG,Dhampur Sugar Mills Limited,5.0887573964496955
420,DHANBANK,Dhanlaxmi Bank Limited,0.978792822185973
421,DHANI,Dhani Services Limited,1.4175257731958875
422,DHANUKA,Dhanuka Agritech Limited,2.4456007568590263
423,DHARMAJ,Dharmaj Crop Guard Limited,0.3430531732418438
424,DHARSUGAR,Dharani Sugars&Chemicals Limited,
425,DHRUV,Dhruv Consultancy Services Limited,-1.2573344509639566
426,DHUNINV,Dhunseri Investments Limited,2.753494657713578
427,DIAMONDYD,Prataap Snacks Limited,3.9832089552238847
428,DICIND,DIC India Limited,0.4745557350565474
429,DIGISPICE,DiGiSPICE Technologies Limited,1.0695187165775426
430,DIGJAMLMTD,Digjam Limited,
431,DIL,Debock Industries Limited,4.62962962962963
432,DISHTV,Dish TV India Limited,5.73770491803279
433,DIVGIITTS,Divgi Torqtransfer Systems Limited,0.1274534794799898
434,DIVISLAB,Divi's Laboratories Limited,0.30738492276953816
435,DIXON,Dixon Technologies (India) Limited,-1.6202840065481345
436,DJML,DJ Mediaprint & Logistics Limited,0.7861120209629797
437,DLF,DLF Limited,-0.3854625550660731
438,DLINKINDIA,D-Link (India) Limited,0.23183925811437403
439,DMART,Avenue Supermarts Limited,-0.43844071865087847
440,DMCC,DMCC SPECIALITY CHEMICALS LIMITED,3.0915397375961393
441,DNAMEDIA,Diligent Media Corporation Limited,
442,DODLA,Dodla Dairy Limited,-0.7800045547711253
443,DOLATALGO,Dolat Algotech Limited,2.640000000000009
444,DOLLAR,Dollar Industries Limited,5.203375162267419
445,DONEAR,Donear Industries Limited,0.9566968781470321
446,DPABHUSHAN,D. P. Abhushan Limited,0.5716434749905911
447,DPSCLTD,DPSC Limited,0.0
448,DPWIRES,D P Wires Limited,-1.4842461591875629
449,DRCSYSTEMS,DRC Systems India Limited,
450,DREAMFOLKS,Dreamfolks Services Limited,2.164662349676234
451,DREDGECORP,Dredging Corporation of India Limited,2.6783479349186408
452,DRREDDY,Dr. Reddy's Laboratories Limited,0.4096310733196502
453,DSSL,Dynacons Systems & Solutions Limited,3.2185206098249464
454,DTIL,Dhunseri Tea & Industries Limited,0.5639521768554027
455,DUCON,Ducon Infratechnologies Limited,
456,DVL,Dhunseri Ventures Limited,2.425578831312014
457,DWARKESH,Dwarikesh Sugar Industries Limited,1.0356731875719118
458,DYCL,Dynamic Cables Limited,9.935379644588048
459,DYNAMATECH,Dynamatic Technologies Limited,0.15842591143794896
460,DYNPRO,Dynemic Products Limited,2.6337722953825753
461,E2E,E2E Networks Limited,
462,EASEMYTRIP,Easy Trip Planners Limited,0.867410161090462
463,EASTSILK,Eastern Silk Industries Limited,
464,ECLERX,eClerx Services Limited,-1.4527704892730395
465,EDELWEISS,Edelweiss Financial Services Limited,0.7707129094412442
466,EDUCOMP,Educomp Solutions Limited,
467,EICHERMOT,Eicher Motors Limited,-2.537709665741525
