,SYMBOL,NAME OF COMPANY
328,CHAMBLFERT,Chambal Fertilizers & Chemicals Limited
329,CHEMBOND,Chembond Chemicals Ltd
330,CHEMCON,Chemcon Speciality Chemicals Limited
331,CHEMFAB,Chemfab Alkalis Limited
332,CHEMPLASTS,Chemplast Sanmar Limited
333,CHENNPETRO,Chennai Petroleum Corporation Limited
334,CHEVIOT,Cheviot Company Limited
335,CHOICEIN,Choice International Limited
336,CHOLAFIN,Cholamandalam Investment and Finance Company Limited
337,CHOLAHLDNG,Cholamandalam Financial Holdings Limited
338,CIGNITITEC,Cigniti Technologies Limited
339,CINELINE,Cineline India Limited
340,CINEVISTA,Cinevista Limited
341,CIPLA,Cipla Limited
342,CLEAN,Clean Science and Technology Limited
343,CLEDUCATE,CL Educate Limited
344,CLSEL,Chaman Lal Setia Exports Limited
345,CMICABLES,CMI Limited
346,CMSINFO,CMS Info Systems Limited
347,COALINDIA,Coal India Limited
348,COASTCORP,Coastal Corporation Limited
349,COCHINSHIP,Cochin Shipyard Limited
350,COFFEEDAY,Coffee Day Enterprises Limited
351,COFORGE,Coforge Limited
352,COLPAL,Colgate Palmolive (India) Limited
353,COMPINFO,Compuage Infocom Limited
354,COMPUSOFT,Compucom Software Limited
355,CONCOR,Container Corporation of India Limited
356,CONFIPET,Confidence Petroleum India Limited
357,CONSOFINVT,Consolidated Finvest & Holdings Limited
358,CONTROLPR,Control Print Limited
359,CORALFINAC,Coral India Finance & Housing Limited
360,CORDSCABLE,Cords Cable Industries Limited
361,COROMANDEL,Coromandel International Limited
362,COSMOFIRST,COSMO FIRST LIMITED
363,COUNCODOS,Country Condo's Limited
364,CRAFTSMAN,Craftsman Automation Limited
365,CREATIVE,Creative Newtech Limited
366,CREATIVEYE,Creative Eye Limited
367,CREDITACC,CREDITACCESS GRAMEEN LIMITED
368,CREST,Crest Ventures Limited
369,CRISIL,CRISIL Limited
370,CROMPTON,Crompton Greaves Consumer Electricals Limited
371,CROWN,Crown Lifters Limited
372,CSBBANK,CSB Bank Limited
373,CSLFINANCE,CSL Finance Limited
374,CTE,Cambridge Technology Enterprises Limited
375,CUB,City Union Bank Limited
376,CUBEXTUB,Cubex Tubings Limited
377,CUMMINSIND,Cummins India Limited
378,CUPID,Cupid Limited
379,CYBERMEDIA,Cyber Media (India) Limited
380,CYBERTECH,Cybertech Systems And Software Limited
381,CYIENT,Cyient Limited
382,DAAWAT,LT Foods Limited
383,DABUR,Dabur India Limited
384,DALBHARAT,Dalmia Bharat Limited
385,DALMIASUG,Dalmia Bharat Sugar and Industries Limited
386,DAMODARIND,Damodar Industries Limited
387,DANGEE,Dangee Dums Limited
388,DATAMATICS,Datamatics Global Services Limited
389,DATAPATTNS,Data Patterns (India) Limited
390,DBCORP,D.B.Corp Limited
391,DBL,Dilip Buildcon Limited
392,DBOL,Dhampur Bio Organics Limited
393,DBREALTY,D B Realty Limited
394,DBSTOCKBRO,DB (International) Stock Brokers Limited
395,DCAL,Dishman Carbogen Amcis Limited
396,DCBBANK,DCB Bank Limited
397,DCI,Dc Infotech And Communication Limited
398,DCM,DCM  Limited
399,DCMFINSERV,DCM Financial Services Limited
400,DCMNVL,DCM Nouvelle Limited
401,DCMSHRIRAM,DCM Shriram Limited
402,DCMSRIND,DCM Shriram Industries Limited
403,DCW,DCW Limited
404,DCXINDIA,DCX Systems Limited
405,DECCANCE,Deccan Cements Limited
406,DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited
