,Index Name,ind_close_all_26082025.csv,ind_close_all_25082025.csv,ind_close_all_22082025.csv,ind_close_all_21082025.csv,ind_close_all_20082025.csv,ind_close_all_19082025.csv,ind_close_all_18082025.csv,ind_close_all_14082025.csv,ind_close_all_13082025.csv,ind_close_all_12082025.csv,ind_close_all_11082025.csv,ind_close_all_08082025.csv,ind_close_all_07082025.csv,ind_close_all_06082025.csv,ind_close_all_05082025.csv,ind_close_all_04082025.csv,ind_close_all_01082025.csv
86,Nifty200 Momentum 30,-1.6,-.03,-.25,0,.03,.07,1.47,.2,1.26,-.64,.92,-1.47,.32,-.44,-.18,1.24,-1.2
87,Nifty100 ESG Sector Leaders,-1.12,.48,-.78,.15,.53,.59,1.28,.04,.61,-.37,.9,-1.05,.11,-.45,-.38,.78,-1.03
88,Nifty200 Alpha 30,-1.83,.37,.02,-.21,.39,.4,.74,.5,1.24,-.56,1.52,-2.15,.82,-.97,-.35,1.5,-1.59
89,Nifty Midcap150 Momentum 50,-1.53,-.16,-.17,-.44,.58,.76,1.14,.04,.66,-.45,.93,-1.48,.38,-1.08,-.02,1.07,-1.24
90,Nifty Smallcap250 Quality 50,-1.84,.18,-.29,-.07,.41,.76,.92,-.31,.24,-.1,.38,-.53,.26,-1.11,-.5,1.07,-1.41
91,NIFTY100 ESG,-1.07,.52,-.77,-.06,.63,.58,1.18,.14,.55,-.28,.97,-.96,.21,-.6,-.21,.85,-1.14
92,NIFTY100 Enhanced ESG,-1.06,.53,-.77,-.06,.63,.6,1.19,.15,.56,-.29,.97,-.98,.21,-.61,-.21,.86,-1.14
93,NIFTY50 Equal Weight,-1,.43,-.85,-.07,.32,.43,1.54,-.09,.86,-.14,.96,-.87,.15,-.52,0,1.1,-1.08
94,Nifty 50 Futures Index,-1.05,.35,-.89,.16,.2,.27,1.14,-.11,.64,-.3,.76,-.94,.16,-.3,-.34,.67,-.98
95,Nifty 50 Arbitrage,.01,.03,.03,0,.06,.11,-.07,.13,-.06,-.01,.11,.01,-.04,.01,.04,-.01,.13
96,Nifty Aditya Birla Group,,,,,,,,,,,,,,,,,
97,Nifty 8-13 yr G-Sec,-.15,-.25,-.12,-.14,.12,-.07,-.58,.5,.07,-.25,-.26,-.09,.11,-.56,-.07,.31,.03
98,Nifty 4-8 yr G-Sec Index,-.14,-.13,-.04,-.05,.12,-.05,-.31,.22,.01,-.25,-.25,-.06,.04,-.35,0,.18,.02
99,Nifty 11-15 yr G-Sec Index,-.15,-.31,-.12,-.1,.26,-.27,-.65,.57,.11,-.34,-.34,-.22,.03,-.63,-.09,.2,-.03
100,Nifty 15 yr and above G-Sec Index,-.35,-.61,-.03,-.23,.17,-.11,-.9,.78,-.02,-.48,-.69,-.19,.05,-.77,-.28,.28,.09
101,Nifty Composite G-sec Index,-.18,-.3,-.09,-.14,.13,-.08,-.59,.51,.03,-.29,-.35,-.09,.09,-.57,-.1,.27,.04
102,Nifty 10 yr Benchmark G-Sec,-.15,-.28,-.15,-.19,.12,-.11,-.61,.56,.03,-.32,-.25,-.01,.15,-.56,-.04,.37,.06
103,Nifty 10 yr Benchmark G-Sec (Clean Price),-.17,-.31,-.18,-.21,.1,-.13,-.64,.56,.01,-.34,-.27,-.03,.13,-.59,-.06,.36,.05
104,Nifty 1D Rate Index,.02,.04,.02,.02,.01,.01,.06,.01,.01,.02,.04,.02,.01,.01,.01,.04,.01
105,Nifty50 USD,-1.13,.32,-1.15,-.08,.15,.87,1.24,-.07,.83,-.45,.91,-.89,.12,-.23,-.45,.5,
