,Index Name,ind_close_all_28032025.csv,ind_close_all_27032025.csv,ind_close_all_26032025.csv,ind_close_all_25032025.csv,ind_close_all_24032025.csv,ind_close_all_21032025.csv,ind_close_all_20032025.csv,ind_close_all_19032025.csv,ind_close_all_18032025.csv,ind_close_all_17032025.csv,ind_close_all_13032025.csv,ind_close_all_12032025.csv,ind_close_all_11032025.csv,ind_close_all_10032025.csv,ind_close_all_07032025.csv,ind_close_all_06032025.csv,ind_close_all_05032025.csv,ind_close_all_04032025.csv,ind_close_all_03032025.csv
63,Nifty India Digital,-1.45,.82,-.64,-.42,1.19,1.18,.94,.95,2.38,.41,-1.19,-2.17,.92,-1.22,-1.16,.28,2.22,-1,.39
64,Nifty Mobility,-.82,-.16,-.41,-1.32,.64,.89,1.27,1.11,2.15,.58,-1.04,.37,.21,-1.27,-.12,1.01,2.4,-.35,-.03
65,Nifty India Defence,.37,-.09,.53,-1.83,3.41,1.22,1.79,4.85,2.15,.1,1.23,-.38,-.44,-.83,2.96,.5,2.8,2.47,1.54
66,Nifty Financial Services Ex-Bank,.12,1.28,-1.23,-.62,1.47,1.76,.41,2,1.97,1.58,-1.15,.54,.35,-1.05,-.14,.92,.55,.12,-.22
67,Nifty Housing,-.35,1.19,-.77,-.4,1.58,.91,.37,1.58,2.08,.52,-.46,-.01,.57,-.76,-.31,.96,2.01,.18,.74
68,Nifty Transportation & Logistics,-1.03,-.44,-.39,-1.41,.29,.68,1.1,1.03,2.6,.91,-1.01,.26,-.21,-1.19,-.38,.72,2.41,-.29,.2
69,Nifty MidSmall Financial Services,.59,.91,-.78,-.95,1.26,2.45,.49,3.17,3.14,.91,-1.22,-.26,-.13,-1.38,-.45,.49,1.26,-.22,-1.18
70,Nifty MidSmall Healthcare,.19,.5,-1.69,-.06,.27,2,1.57,2.11,1.47,.95,-.34,-.03,-.07,-.89,-.71,.31,2.58,.83,.78
71,Nifty MidSmall IT & Telecom,-1.32,.13,-.33,-.15,1.38,2.37,.16,1.26,2.29,.52,-.91,-2.49,1.08,-2.21,-.61,-.25,4.43,-.92,-.11
72,Nifty MidSmall India Consumption,-.53,.57,-.98,-1.09,1.26,1.05,1.35,1.9,2.22,.37,-.63,-.35,.71,-1.11,-.85,-.08,2.12,.23,.87
