,Index Name,ind_close_all_29042024.csv,ind_close_all_26042024.csv,ind_close_all_25042024.csv,ind_close_all_24042024.csv,ind_close_all_23042024.csv,ind_close_all_22042024.csv,ind_close_all_19042024.csv,ind_close_all_18042024.csv,ind_close_all_16042024.csv,ind_close_all_15042024.csv,ind_close_all_12042024.csv,ind_close_all_10042024.csv,ind_close_all_09042024.csv,ind_close_all_08042024.csv,ind_close_all_05042024.csv,ind_close_all_04042024.csv,ind_close_all_03042024.csv,ind_close_all_02042024.csv,ind_close_all_01042024.csv
72,Nifty MidSmall India Consumption,.66,.55,-.52,1.63,1.15,.73,-.44,-.58,-.33,-1.51,-.31,1.02,.35,1.08,.41,.09,-.55,1.2,2.09
73,Nifty REITs & InvITs,-.5,-.73,.71,.1,.41,-.08,.11,1,-.4,-.07,-1.06,-.47,.05,-.23,-.21,.74,.07,.65,.59
74,Nifty Consumer Durables,.16,1.72,-.43,.9,.65,2.4,.49,-.85,.23,-1.32,-.89,.68,-.79,.83,.08,.39,.07,1.86,.56
75,Nifty Non-Cyclical Consumer,.43,.15,.05,.05,.86,1.18,.58,-.36,-.04,-1.14,-.96,1.23,-.49,.64,-.02,.38,-.26,.41,.09
76,Nifty India Manufacturing,.47,.29,1,.87,0,1.12,.09,-.38,.23,-.96,-.47,.45,-.16,.98,.1,-.18,-.04,1.16,1.1
77,NIFTY100 Alpha 30,.67,.54,1.1,.5,.08,1.41,-.09,-.75,.04,-1.81,-.93,.68,-.51,-.1,.16,.33,.5,1.06,1.63
78,NIFTY500 Value 50,.87,.53,1.38,1.44,.06,.87,-.02,-.56,.21,-.75,-.97,1.74,.23,.46,.31,-.31,.87,1.66,2.04
79,Nifty100 Low Volatility 30,.5,-.24,.25,.35,.28,.86,-.07,-.89,-.26,-1.06,-1.02,.37,-.68,.39,.14,-.03,-.58,-.06,.47
80,NIFTY Alpha Low-Volatility 30,.82,-.04,1.2,.07,.32,1.25,-.12,-.92,.2,-.74,-1.19,.55,-.61,.63,-.19,-.4,-.52,.54,.37
81,NIFTY Quality Low-Volatility 30,-.07,.27,.17,.28,.42,.84,-.13,-1.01,-.32,-.94,-.78,.59,-.54,.23,.14,-.16,-.39,.17,.54
82,NIFTY Alpha Quality Low-Volatility 30,.15,.17,.69,.41,.38,1.08,-.31,-.91,.22,-.89,-.73,.53,-.82,.04,.39,-.39,-.41,.47,.62
83,NIFTY Alpha Quality Value Low-Volatility 30,.03,.55,1.15,.55,.13,1,-.27,-1.07,.06,-.7,-.62,1.05,-.64,-.35,.21,-.24,.14,.58,.9
84,NIFTY200 Quality 30,-.36,.63,.59,.3,.68,.53,-.33,-.99,-.52,-.95,-.35,.83,-.37,-.03,.16,-.13,-.01,.57,.74
85,NIFTY Midcap150 Quality 50,.74,.83,.24,.62,.14,.23,-.36,-.23,-.6,-1.13,-.37,.77,.15,-.05,.51,-.18,.76,.82,1.58
86,Nifty200 Momentum 30,.12,.6,1.71,.89,.29,1.22,-.44,-.85,0,-1.21,-.33,.81,-.67,.18,.17,-.12,.28,.72,1.38
87,Nifty100 ESG Sector Leaders,1.03,-.6,.51,.17,.11,.93,.57,-.55,-.6,-1.29,-.94,.36,-.09,.79,.04,.37,-.15,-.11,.73
