,SYMBOL,cm19MAY2023bhav.csv,cm18MAY2023bhav.csv,cm17MAY2023bhav.csv,cm16MAY2023bhav.csv,cm15MAY2023bhav.csv,cm12MAY2023bhav.csv,cm11MAY2023bhav.csv,cm10MAY2023bhav.csv,cm09MAY2023bhav.csv,cm08MAY2023bhav.csv,cm05MAY2023bhav.csv,cm04MAY2023bhav.csv,cm03MAY2023bhav.csv,cm02MAY2023bhav.csv
1400,RICOAUTO,-1.0442260442260547,7.387862796833784,0.5972130059721339,-1.888020833333337,-2.5380710659898478,4.578633045786335,7.4126870990733975,0.2142857142857224,-0.21382751247327964,1.4461315979754157,-1.7755681818181817,0.28490028490028896,-2.023726448011169,-0.13937282229964365
1401,RIIL,1.0297675988970898,0.6627393225331266,-1.9821220365332195,1.5848843767625445,0.8073686604503096,-1.4291318724429747,0.6486913357400722,1.4129626451576025,-0.8620200759938776,0.01134365606035083,-1.601741265766271,6.851929154988364,-0.9509746012994631,0.4330545174111618
1402,RITCO,-1.1322838994752893,2.4617996604414394,2.1682567215958373,0.028918449971071687,-1.5375854214122944,-3.250688705234163,4.7316791690709685,-1.5340909090909027,0.2849002849002849,-1.7632241813602048,-0.16764459346185134,0.7034327518289252,-0.7539793353811911,-3.1900513652338347
1403,RITES,-5.241521068859193,-1.8411097099621718,2.098622376722023,-2.363293526084218,-1.253723932472694,-0.3833312724125167,0.08663366336634226,-0.6760909649661955,-3.6936190363442694,1.3802208353336534,5.321703956516246,-3.1701346389228857,-1.3999517258025613,7.554517133956392
1404,RKDL,,,,,,,,,,,,,,
1405,RKEC,2.379125095932459,-3.0505952380952337,-1.17647058823529,-1.090909090909091,0.8804108584005784,-3.4702549575070663,1.509705248023001,1.8301610541727673,1.185185185185181,-2.4566473988439346,-2.945301542776991,-2.3956194387405887,2.4544179523141656,-3.1249999999999964
1406,RKFORGE,0.7656549083948623,5.6325823223570195,0.0,-0.27365692063948976,2.0129297678518854,0.2504050670201864,0.25103366804488064,-0.645539906103283,-1.7867435158501408,1.2990804262151479,1.9190717048497434,1.4794685990338268,0.5464480874316975,1.0429447852760667
1407,RMCL,,,,,,,,,,,,,,
1408,RML,-1.582029542872119,1.355421686746984,15.762485898882158,2.7286135693215314,-1.7899637868597988,1.0454783063251438,-1.228831061544814,0.4251788862387248,1.5694122603749714,-5.626242544731612,2.7579162410623086,4.85166541715754,2.1665390086442793,0.7274330430948995
1409,RNAVAL,,,,,,,,,,,,,,
1410,ROHLTD,0.8943543879262125,-1.0372009403955191,1.9887165021156592,0.7245347350475952,-2.80309306821321,0.4020518508249121,-2.2231259319506695,9.40234317069555,-0.6190125276344945,0.9522392501115872,-1.1762976032936332,-0.2785923753665656,3.663170694634447,-3.3636897767332514
1411,ROLEXRINGS,-0.12233848716748066,-1.6536964980544724,1.5044822658178536,1.9740328563857976,-2.1341700593833512,0.3408617818484691,3.425818778761531,-0.17193670580017975,-0.2572416195503606,-0.1898903450120329,-1.1604853419334398,2.401061122841218,-0.13786392020112895,0.5271882388108398
1412,ROLLT,5.000000000000004,-4.761904761904765,0.0,5.000000000000004,-4.761904761904765,0.0,0.0,-4.545454545454549,4.761904761904765,0.0,-4.545454545454549,0.0,4.761904761904765,0.0
1413,ROLTA,,,,,,,,,,,,,,
1414,ROML,-1.2150668286755772,-0.6038647342995169,0.12091898428052517,-2.3612750885478158,0.9535160905840251,0.8413461538461573,1.8359853121175032,0.24539877300613847,-1.6887816646562188,-1.4268727705112827,0.35799522673030687,1.8226002430133659,-2.023809523809527,3.575832305795322
1415,ROSSARI,-0.3449703325514006,-1.6222086472544535,0.06792094002580996,0.4571506550218372,3.2330774107205653,1.0390719521742322,1.6714905933429745,-0.8466063997704085,1.029283850391421,1.4784847370356682,-1.6280752532561504,0.34124736803892003,-0.9849029475197733,1.2667443214909793
1416,ROSSELLIND,3.209128186842575,-0.9535581847077481,-0.052947405577138756,0.15909492663955757,-2.330801104972376,8.100037327360972,3.0781069642170067,-0.34509202453989035,0.038358266206376196,-0.7046276899638251,-0.3605313092979084,1.2099097368926357,0.3662297609869104,-0.5177372962607949
1417,ROTO,0.09967796350252679,0.39257947810023375,0.9401709401709332,0.8541650340882448,3.269401958404132,-0.39497017572141413,1.2982771290928279,0.1799591002045027,0.2871205906480722,-0.23733529748752685,0.9500991407799074,-0.9168303863785051,-0.19607843137255643,-2.220802045055117
1418,ROUTE,1.0990600144613192,-0.44271676924738806,0.5755864465682049,1.1719894520949312,4.930632950309373,0.6809827819694296,0.6190142490072449,-0.44186046511628263,-0.06584808459541458,0.529574393520498,1.5059288537549371,0.43668122270742354,-2.1937487866433703,1.3377926421404682
1419,RPGLIFE,1.2760944964334795,-2.2766515316237217,0.2757470822111039,-0.14088114754097197,-0.006403278478589769,-1.6313932980599564,1.8345093008338622,0.4186795491143317,-0.39137687668419796,-0.4916044180552925,0.44247787610618594,1.8350421210736065,-3.915416954257394,-4.819636884854279
1420,RPOWER,0.43859649122806077,-1.7241379310344769,-0.8547008547008517,0.8620689655172384,-1.6949152542372972,-0.4219409282700332,-0.4201680672268967,-0.8333333333333304,-1.2345679012345707,-2.0161290322580645,1.6393442622950907,2.5210084033613356,-2.05761316872428,-0.40983606557376173
1421,RPPINFRA,-1.3937282229965025,0.8196721311475277,-0.35005834305717287,-0.9248554913294765,0.9334889148191331,-1.832760595647187,0.8083140877598186,0.4640371229698277,0.4662004662004729,-0.6944444444444543,0.46511627906977404,1.6548463356974064,-0.47058823529412436,0.8303677342823285
